Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355
230727B,5,Y,70,58,1:1B,1:1A,1:1B,1:1B,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1C-,1:1B+,1:1B,1:1B,0:0NA,1:1C,0:0NA,0:0NA
230727B,3,Y,70,61,1:1A,1:1A,1:1A,1:1C,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1A,1:1B+,1:1C,0:0NA,1:1A,0:0NA,0:0NA
230727B,5,Y,70,52,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1C,1:1A,0:0NA,0:0NA,0:0NA,2:1B,2:1C,2:1B,1:1C-,1:1C,0:0NA,1:1C+,0:0NA,0:0NA
230727B,3,N,94,0,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,2,N,69,16,1:1B,1:1C,1:1C,1:1C,1:1C,0:0NA,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1B,2:1A,1:1D-,1:1C,1:1C+,0:0NA,1:1C+,0:0NA,0:0NA
230727B,5,Y,70,71,1:1C,1:1C,1:1C,1:1B,1:1B+,1:1B-,0:0NA,1:1C,1:1B,0:0NA,0:0NA,1:1B,1:1A-,1:1B,1:1B,1:1D+,0:0NA,1:1C,0:0NA,0:0NA
230727B,4,Y,70,50,1:1C,1:1C,1:1B,1:1C,1:1A,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B+,2:1C,1:1C,1:1A,1:1C-,0:0NA,1:1C+,0:0NA,0:0NA
230727B,5,Y,70,55,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1A,1:1B+,1:1A,0:0NA,1:1B+,0:0NA,0:0NA
230727B,1,N,9,85,1:1B,1:1B-,1:1B,1:1B-,1:1B-,1:1C,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,2:1C+,0:0NA,2:1B-,1:1B,1:1C+,0:0NA,1:1C,0:0NA,0:0NA
230727B,4,Y,69,58,1:1A,1:1B,1:1A,1:1B,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A-,2:1B+,1:1B+,1:1B-,1:1A,0:0NA,2:0,0:0NA,0:0NA
230727B,4,N,117,39,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA
230727B,4,Y,70,52,1:1B,1:1B,1:1B,1:1A,1:1B,0:0NA,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,1:1B,1:1C,1:1C,0:0NA,1:1C-,0:0NA,0:0NA
230727B,5,Y,70,61,1:1A,1:1B,1:1C,1:1C,1:1A,0:0NA,0:0NA,2:1B-,0:0NA,0:0NA,0:0NA,1:1B-,1:1C,1:1D-,1:1C-,1:1D,0:0NA,1:1C,0:0NA,0:0NA
230727B,4,N,70,27,1:1B,1:1C,1:1C,1:1C,1:1C,0:0NA,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C+,1:1C-,1:1C+,1:1C,1:1D,0:0NA,1:1D+,0:0NA,0:0NA
230727B,5,Y,70,50,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A-,1:1A,1:1A-,1:1B,1:1A,0:0NA,1:1B-,0:0NA,0:0NA
230727B,3,N,70,12,2:0F,0:0NA,1:1B,1:1C,1:0W,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,4,Y,70,79,1:1A,2:0F,1:1A,1:1B,2:1A,2:1C+,1:1B,1:1B,1:1A,1:1D,0:0NA,1:1B,2:1B-,2:1A-,1:1C,2:1B,0:0NA,2:1B-,0:0NA,0:0NA
230727B,3,Y,70,53,1:1B,1:1A,1:1B,1:1C,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1B-,1:1B-,2:1B-,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,N,57,34,1:1B,1:1A,2:0F,1:1C,1:1B,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A-,1:1B-,1:1A-,1:1A-,1:1B,0:0NA,1:1B+,0:0NA,0:0NA
230727B,5,Y,70,50,1:1C,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:1A,1:1C,1:1C,0:0NA,0:0NA,1:1B+,1:1B+,1:1B+,1:1B+,1:1B-,0:0NA,1:1B,0:0NA,0:0NA
230727B,4,Y,70,58,1:1A,1:1A,1:1C,1:1B,1:1A,0:0NA,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:1B+,1:1A,1:1B-,1:1C-,2:1B,0:0NA,1:1C,0:0NA,0:0NA
230727B,3,N,70,43,1:1A,1:1A,1:1B,1:1B,1:1A,0:0NA,2:1A-,1:1B,0:0NA,0:0NA,0:0NA,2:0,1:0,3:1A,2:0,1:1B-,0:0NA,1:1B+,0:0NA,0:0NA
230727B,2,Y,70,64,1:1C,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C,0:0NA,0:0NA,1:1C,2:1B,1:1B,1:1B+,1:1C+,0:0NA,1:1C+,0:0NA,0:0NA
230727B,1,N,67.5,0,1:1C,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1A,1:1C,4:1B-,0:0NA,0:0NA,3:1B-,1:1C-,2:1B+,2:1B,2:0,0:0NA,2:1B+,0:0NA,0:0NA
230727B,4,N,70,29,1:1A,1:1A,1:1B,1:1C,1:1A,0:0NA,1:1B,1:1C,2:0,0:0NA,0:0NA,1:1B,2:1D-,1:1C-,1:1C,1:1B+,0:0NA,2:1C,0:0NA,0:0NA
230727B,2,N,6,15,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,3,Y,93.3,55,1:1A,1:1B,1:1A,1:1B,1:1A,0:0NA,1:1A,1:1A,0:0NA,1:1B,0:0NA,1:1B,1:1B,1:1B,1:1B+,1:1A-,0:0NA,1:1A-,0:0NA,0:0NA
230727B,3,Y,69,61,1:1A,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1B,1:1A,0:0NA,1:1B,0:0NA,1:1C,1:1B,1:1B-,1:1B-,1:1B+,0:0NA,1:1C,0:0NA,0:0NA
230727B,5,Y,0,131,1:1B,1:1A,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,1:1B+,1:1A,1:1B+,1:1B,1:1A-,0:0NA,1:1A-,0:0NA,0:0NA
230727B,2,Y,69,69,1:1B,1:1,2:1C-,1:1C,1:1A,1:1C,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1C+,3:0,2:1D+,2:1C+,1:1D+,0:0NA,2:1B-,0:0NA,0:0NA
230727B,1,Y,70,55,2:0,1:1C,1:1C,1:1B,1:1C,0:0NA,0:0NA,1:1B,0:0NA,1:1C,0:0NA,1:1B+,1:1B-,2:1B-,1:1C-,2:1C-,0:0NA,1:1C+,0:0NA,0:0NA
230727B,3,Y,57,65,1:1A-,1:1A,1:1A-,1:1B,0:0NA,0:0NA,0:0NA,1:1B+,1:1B-,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA
230727B,3,Y,70,62,1:1A,1:1A,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1A,1:1B-,1:1C-,1:1C-,1:1D+,0:0NA,1:1B+,0:0NA,0:0NA
230727B,5,Y,70,55,1:1C,1:1C,1:1C,1:1C,1:1B,1:1C+,0:0NA,1:1B,1:1C,0:0NA,0:0NA,2:1A,1:1B+,1:1C,1:1C+,1:1B,0:0NA,1:1C-,0:0NA,0:0NA
230727B,4,Y,70,52,1:1B,1:1A,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1B,1:1B+,1:1A,0:0NA,1:1C+,0:0NA,0:0NA
230727B,3,N,65,33,1:1B,1:1C,1:1B,1:1C,1:1C,0:0NA,0:0NA,1:1B-,0:0NA,1:1B,0:0NA,1:1B-,1:1B-,1:1C,1:1C,1:1C+,0:0NA,1:1C-,0:0NA,0:0NA
230727B,5,Y,76,52,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,1:1A,0:0NA,1:1B,0:0NA,1:1C,0:0NA,1:1C-,1:1C,1:1B,0:0NA,1:1B+,0:0NA,0:0NA
230727B,2,N,58,0,1:1C,2:1B,1:1B,2:1B,1:1A,0:0NA,1:1C,1:1B,1:1B-,0:0NA,0:0NA,1:1A-,1:1D,1:1B,1:1B,2:0,0:0NA,1:1C+,0:0NA,0:0NA
230727B,2,N,56,3,0:0NA,0:0NA,1:0WU,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,4,Y,70,50,1:1A,1:1C+,1:1B,1:1B,1:1B,0:0NA,1:1B,1:1B,0:0NA,1:1D,0:0NA,1:1B+,1:1B,1:1B+,1:1B-,1:1B+,0:0NA,2:1C+,0:0NA,0:0NA
230727B,5,Y,70,51,1:1B,1:1B,1:1B,1:1B,1:1C,0:0NA,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1D,1:1C-,1:1D-,1:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,5,Y,115,78,0:0NA,1:1C-,1:1B,1:1C+,2:0,3:0,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,2:1B-,1:1B,1:1B-,1:1B-,1:1C,0:0NA,1:1B,0:0NA,0:0NA
230727B,5,N,70,28,1:1B,1:1A,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA,1:1C,0:0NA,1:1C,1:1B-,0:0NA,1:1D,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA
230727B,5,Y,154,49,2:0,1:1B,1:1A,1:1B,1:1B,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,2:1B-,1:1B-,1:1C+,0:0NA,1:1C-,0:0NA,0:0NA
230727B,4,Y,69,52,1:1A,1:1B,1:1B,1:1B,1:1B,1:1C,1:1B,1:1A,0:0NA,0:0NA,0:0NA,2:0,1:1C,1:1C+,1:1B-,1:1D-,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,N,70,9,1:1A,1:1B,1:1C,1:1B,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1B-,1:1B-,1:1A,0:0NA,1:1A-,0:0NA,0:0NA
230727B,1,N,69,14,1:1C,1:1D,1:1B,1:1C,1:1A,0:0NA,1:1C-,1:1B,1:1B+,1:1B-,1:1D,1:1B+,1:0F,0:0NA,1:1B,2:1D+,0:0NA,0:0NA,0:0NA,0:0NA
230727B,4,N,66.6,6,1:1C,1:0,1:1D,1:1C,1:1B,1:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,3,Y,70,50,1:1A,1:1B,1:1B,1:1B,0:0NA,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:0,1:1C+,2:1C+,1:1B+,0:0NA,2:1C,0:0NA,0:0NA
230727B,4,Y,64,71,1:1A,1:1B+,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,2:1B,1:1A,1:1A,1:1C+,1:1B,0:0NA,1:1C,0:0NA,0:0NA
230727B,5,Y,67,64,1:1A,2:1B+,1:1A,1:1A,1:1C,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,2:1B-,1:1A-,2:1C-,1:1C+,1:1A,0:0NA,2:1C,0:0NA,0:0NA
230727B,4,Y,70,55,1:1B,1:1B,1:1B,1:1C,1:1A,0:0NA,1:1C,1:1B,1:1C,0:0NA,0:0NA,1:1B,1:1C,1:1C,1:1C-,1:1C,0:0NA,1:1C+,0:0NA,0:0NA
230727B,3,N,70,25,1:1C,1:1B,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,1:1A,0:0NA,0:0NA,1:1B-,1:1D,2:1D+,1:1B,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA
230727B,4,Y,67,53,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1A-,0:0NA,0:0NA
230727B,3,Y,83,49,1:1A,1:1B,1:1A,1:1A,1:1B,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1B-,2:1C-,1:1C-,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,Y,70,63,1:1C,1:1C+,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1C+,1:1C,0:0NA,0:0NA,1:1B+,1:1C+,1:1B-,1:1B,1:1C,0:0NA,1:1B,0:0NA,0:0NA
230727B,3,Y,67,62,1:1B,1:1A,1:1C,1:1A,1:1B,0:0NA,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1A-,1:1B-,2:1C-,1:1B-,1:1C,0:0NA,1:1B-,0:0NA,0:0NA
230727B,4,Y,70,52,1:1A,1:1B,1:1A,1:1B,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1C+,1:1C,1:1C+,1:1C,0:0NA,1:1B,0:0NA,0:0NA
230727B,5,Y,0,123,1:1B,1:1B,1:1B-,1:1B,1:1A,1:1C+,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,1:1C,1:0,1:1C+,1:1C,1:1C,0:0NA,2:1C+,0:0NA,0:0NA
230727B,5,N,64,59,1:1B,1:1B,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A-,1:1C+,1:1B-,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA
230727B,4,Y,70,56,1:1B,1:1C,1:1C,1:1B,1:1B,0:0NA,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1C+,1:1A,2:1C,2:1C-,1:1C,0:0NA,2:1C,0:0NA,0:0NA
230727B,5,Y,6,123,1:1C,1:1D+,1:1C,1:1B,1:1A-,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B+,1:1B,1:1B,1:1C+,2:1B-,0:0NA,1:1C+,0:0NA,0:0NA
230727B,5,Y,22,112,1:1C-,1:1B+,1:1C,1:1C,2:0,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1B+,2:1B,1:1C-,1:1C,4:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,4,Y,8,136,1:1B,1:1C+,2:1A,2:1B,1:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B+,1:1B,1:1D+,1:1A-,1:1B-,0:0NA,1:1B-,0:0NA,0:0NA
230727B,3,Y,95.7,47,1:1A,1:1B,1:1A,1:1B,1:1B,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1B-,2:0,1:1B,0:0NA,1:1C-,0:0NA,0:0NA
230727B,4,Y,69,52,1:1C,1:1A,1:1A,1:1B,1:1A,0:0NA,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:1C,1:1C+,2:0,1:1D,0:0NA,2:1C,0:0NA,0:0NA
230727B,4,Y,70,55,1:1B,1:1A,1:1B,1:1C,1:1B,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1C-,1:1A-,1:1A-,1:1C,0:0NA,1:1B+,0:0NA,0:0NA
230727B,3,Y,68,68,1:1B,1:1B,1:1B,1:1B,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,2:1B-,3:0,3:0,2:1C,1:1C,0:0NA,3:1D+,0:0NA,0:0NA
230727B,4,Y,70,50,1:1B,1:1B,1:1C,1:1C,1:1B,0:0NA,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,1:1B-,1:1B,1:1B,1:1B+,0:0NA,1:1B,0:0NA,0:0NA
230727B,4,Y,70,50,1:1C,1:1B,1:1C,1:1A,1:1A,0:0NA,1:1A,1:1C,0:0NA,0:0NA,0:0NA,2:1C,1:1C,1:1B-,1:1C,1:1C+,0:0NA,1:1B-,0:0NA,0:0NA
230727B,3,Y,18,138,1:1B,1:1C,2:1A,1:1B,1:1A,0:0NA,0:0NA,3:0,0:0NA,0:0NA,0:0NA,3:1B-,1:1B,1:1C+,1:1B,1:1B-,0:0NA,1:1B,0:0NA,0:0NA
230727B,5,Y,26,123,1:1C,2:1D-,1:1C,1:1B,1:1A,1:0,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1B+,1:1C+,1:1B-,1:1C,1:1C,0:0NA,1:1D,0:0NA,0:0NA
230727B,3,N,71,46,1:1A,1:1C,1:1C,1:1C,1:1A,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1C,2:1C,1:1D,2:1C,0:0NA,0:0NA,2:0,0:0NA,0:0NA
230727B,3,N,70,0,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,5,Y,22,106,1:1A,2:0,1:1B,2:0,1:1A,1:1C,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1B,1:1C-,1:1B-,0:0NA,1:1C+,0:0NA,0:0NA
230727B,4,Y,63,77,1:1A,1:1B+,1:1B,1:1C,1:1A-,0:0NA,1:1B,1:1B+,0:0NA,0:0NA,0:0NA,1:1B+,1:1C+,1:1B+,1:1B,1:1C,0:0NA,1:1B+,0:0NA,0:0NA
230727B,5,Y,15,149,2:1B,1:1B-,1:1B,1:1C,1:1A-,2:0,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,2:0,1:1B+,1:1C+,1:1B-,1:1D,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,N,44.5,0,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,N,152,12,1:1A,1:1B,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,1:1C,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA
230727B,4,N,70,31,1:1A,1:1C,1:1A,1:1A,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1C+,1:1D,1:1C,1:1B,2:0WU,0:0NA,2:0WU,0:0NA,0:0NA
230727B,4,Y,70,63,1:1A,1:1A,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1A,1:1B,0:0NA,0:0NA,2:1B,2:1B-,1:1C+,1:1C+,1:1C,0:0NA,1:1A,0:0NA,0:0NA
230727B,2,N,65,22,1:1B,1:1C,1:1B,1:1B,1:1B,1:1C,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A-,1:1A,1:1C,1:1B+,1:1B,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,N,70,0,1:1A,1:1C+,1:1B,1:1B,2:1A-,1:1C+,1:1B-,1:1C+,1:1A,0:0NA,0:0NA,1:1C+,1:1B,1:1A,1:1B-,1:1B+,0:0NA,1:1B+,0:0NA,0:0NA
230727B,3,N,41,6,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,4,Y,61,83,1:1C,1:1C,1:1D,1:1C+,1:1B,2:1C,0:0NA,1:1C-,1:1C,0:0NA,0:0NA,1:1C+,3:1B,2:1C,2:0,3:1B-,0:0NA,2:1C-,0:0NA,0:0NA
230727B,4,Y,23,110,2:0,1:1B,1:1C,2:0,1:1B+,1:1C,1:1B,1:1B-,0:0NA,0:0NA,0:0NA,1:1A-,1:1B+,1:1C,1:1B,1:1C,0:0NA,1:1C+,0:0NA,0:0NA
230727B,3,Y,6,116,1:1B+,1:1B,1:1B,1:1B,1:1A,1:1A-,0:0NA,1:1C+,1:1B,0:0NA,0:0NA,2:1B-,1:1B-,1:1B-,1:1C+,0:0NA,0:0NA,4:1C,0:0NA,0:0NA
230727B,4,Y,65,59,1:1B,1:1A-,1:1B,1:1B,1:1A,0:0NA,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1D,1:1C,1:1B,0:0NA,1:1D-,0:0NA,0:0NA
230727B,5,Y,26,112,0:0NA,0:0NA,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1B+,1:1B+,0:0NA,0:0NA,1:1A,1:1A-,1:1A-,1:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA
230727B,2,Y,70,58,1:1A,1:1A,1:1C,1:1A,1:1C,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1C,1:1B,2:1B,0:0NA,1:1B,0:0NA,0:0NA
230727B,3,Y,70,58,1:1B,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A,1:1A,0:0NA,1:1C,0:0NA,1:1C,3:1B,2:1B-,1:1B,1:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,3,Y,6,136,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A-,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,2:1A,1:1A,1:1B+,1:1A,0:0NA,1:1A-,0:0NA,0:0NA
230727B,3,Y,30,125,2:1B,1:1C-,1:1A,1:1B,2:0,1:0,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1A-,1:1B,2:1B+,1:1C+,1:1B,0:0NA,1:1C+,0:0NA,0:0NA
230727B,4,Y,68,58,1:1C,1:1B,1:1B,1:1B,1:1C,1:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A-,1:1C+,1:1C-,1:1B-,1:1B-,0:0NA,1:1C,0:0NA,0:0NA
230727B,4,Y,22,110,1:1B,1:1C,2:1C-,2:0,1:1A,0:0NA,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1A-,1:1B,1:1B+,1:1B,1:1C+,0:0NA,1:1C+,0:0NA,0:0NA
230727B,4,Y,72.7,68,1:1A,0:0NA,1:1C,1:1A,1:1A,1:0,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:1B,1:1C-,1:1C,2:1B+,1:1B,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,N,66,12,1:1B,0:0NA,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,2,Y,70,59,1:1C,1:1C,1:1B,1:1C,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1C,1:1B,1:1C-,1:1B-,0:0NA,1:1C,0:0NA,0:0NA
230727B,2,Y,77.8,94,1:1C+,1:1C,1:1C,1:1C,2:1C,0:0NA,0:0NA,1:1C,1:1C,0:0NA,0:0NA,2:1B-,1:1C+,1:1C-,1:1C,0:0NA,0:0NA,1:1D,0:0NA,0:0NA
230727B,3,Y,51,87,1:1A,1:1B,1:1C,1:1C,2:1A,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1A,2:1B,1:1C+,1:1C-,0:0NA,1:1C,0:0NA,0:0NA
230727B,3,Y,5,122,1:1C,1:1B,1:1A,1:1B-,1:1A,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1B,1:1C-,1:1A-,1:1B-,1:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,N,75,9,1:1A,1:1A,1:1B,1:1B,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1B-,1:1C+,1:1C,1:1B-,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA
230727B,5,N,66,41,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1B,0:0NA,1:1B,1:1C,1:1D+,0:0NA,1:1D,3:0WU,2:0F,0:0NA,1:1C+,0:0NA,0:0NA
230727B,3,Y,63,81,1:1C,0:0NA,0:0NA,1:1C,1:1C,0:0NA,0:0NA,1:1B,1:1C,0:0NA,0:0NA,0:0NA,2:1D+,1:1C+,1:1B-,1:1C,0:0NA,1:1B-,0:0NA,0:0NA
230727B,5,Y,70,58,1:1B,1:1C,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,2:1A,1:1C-,1:1C-,1:1C,0:0NA,3:1D,0:0NA,0:0NA
230727B,4,Y,54,67,1:1B,1:1C,1:1B,1:1B,1:0F,2:1C+,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1D+,2:1B,1:1C,0:0NA,1:1B,0:0NA,0:0NA
230727B,3,N,70,3,1:1C,1:1B,1:1C,1:1B,1:0WU,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,4,N,76,70,1:1A,1:1B,1:1B,0:0NA,1:1B+,1:1C,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1C,2:1B,1:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,Y,70,80,2:0B,1:1B,1:1C,1:1C,1:1A,0:0NA,0:0NA,2:1C+,0:0NA,0:0NA,0:0NA,3:1A-,3:0,1:1D+,2:1D+,1:1C-,0:0NA,2:1B-,0:0NA,0:0NA
230727B,4,Y,91,53,1:1C,1:1C+,1:1A,1:1C,1:1C,0:0NA,0:0NA,1:1A,1:1C+,0:0NA,0:0NA,2:1B,1:1C-,1:1A,1:1D,2:1D+,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,N,70,9,1:1C,1:1C,1:1A,1:1B,1:1B,0:0NA,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C+,1:1C,1:1D-,2:1B,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA
