Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355
230727B,1,Y,70,74,1:1A,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1A,1:1D,1:1A-,2:1A,1:1B+,2:1B-,1:1B-,0:0NA,1:1B+,0:0NA,0:0NA
230727B,1,N,92,6,0:0NA,1:1B-,1:1C,1:1C-,1:1A-,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,15.5,140,1:1B-,1:1B,2:1A,1:1B+,1:1A,0:0NA,0:0NA,1:1B+,1:1B-,0:0NA,0:0NA,1:1B,1:1A-,2:1B+,1:1C+,1:1A-,0:0NA,1:1B+,0:0NA,0:0NA
230727B,1,Y,81,68,1:1B,1:1A,1:1B,1:1C,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1A,1:1B-,1:1B+,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA
230727B,1,Y,18,114,1:1B,1:1B,1:1B-,1:1C-,1:1B+,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,2:1A-,1:1C,1:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,Y,69,70,0:0NA,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,1:1C-,1:1C,1:1C,0:0NA,1:1D+,0:0NA,0:0NA
230727B,1,N,70,7,1:1A,1:1B,1:1A,1:1A,1:1B,1:1D+,0:0NA,1:1C,1:1C,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA
230727B,1,Y,70,52,1:1B,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,2:1C+,1:1B+,1:1B-,1:1C+,0:0NA,1:1D-,0:0NA,0:0NA
230727B,1,Y,68,52,1:1B,1:1A,1:1B,1:1C,1:1A,0:0NA,0:0NA,1:1C,0:0NA,1:1B,0:0NA,1:1B-,1:1B-,1:1B,3:1B,1:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,Y,67.5,62,1:1C,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B+,2:1C,1:1C,1:1D+,0:0NA,1:1D-,0:0NA,0:0NA
