Graduated,N_Terms,Transfer_Cr,Inst_Cr,Total_Cr,PSY150,MATH140,PSY250,PSY320,PSY310,PSY321,PSY352,PSY345,PSY313,PSY301,PSY312,PSY365,MATH93,PSY302,MATH102,PSY356,PSY361,PSY370,PSY367,PSY230,PSY200,MATH92,PSY369,PSY351,PSY305,PSY350,PSY383,MATH104,PSY382,MATH105,PSY386,MATH103
Y,6,60.0,61.0,121.0,1:1C,1:1C,1:1B-,1:1A-,1:1A-,1:1A,1:1B+,0:0NA,1:1A-,0:0NA,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,13,6.0,101.0,107.0,1:1B,5:0F,1:1B,0:0NA,2:0WU,0:0NA,1:1C-,0:0NA,1:1D+,0:0NA,3:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0IC,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,8,30.0,78.0,108.0,1:1A,1:1B,1:1C+,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA
N,4,61.0,13.0,74.0,1:1B,1:1C,1:1B,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,11,6.0,122.0,128.0,1:1B+,1:1B-,1:1C+,1:1B,1:1A,1:1B,2:1B+,0:0NA,1:1B-,0:0NA,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,1,67.0,0.0,67.0,1:1D,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,5,69.0,13.0,82.0,1:1C,1:1A,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,4,63.0,74.0,137.0,1:1C,1:1D,1:1B,1:1C,1:1B+,1:1B,1:1B,0:0NA,1:1C+,0:0NA,1:1A,0:0NA,0:0NA,1:1C+,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,3,70.0,50.0,120.0,1:1B,1:1C,1:1C,1:1A,1:1B,2:0,1:1A,0:0NA,0:0NA,0:0NA,1:1B+,1:1A-,0:0NA,1:1A,0:0NA,1:1A-,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,7,4.0,122.0,126.0,1:1A,2:0F,1:1C,1:1A-,1:1C+,1:1A,1:1A-,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,2:1B-,0:0NA,1:1C
Y,10,84.0,82.0,166.0,1:1B,1:1D,1:1C,3:1C-,1:0,4:0,2:1C+,0:0NA,2:0B+,0:0NA,0:0NA,1:0W,0:0NA,0:0NA,1:1C,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1B-,2:1B-,0:0NA,1:1B,0:0NA,0:0NA,0:0NA
Y,4,74.0,48.0,122.0,2:1C,1:1C,1:1B,1:1B,1:1C+,1:1B-,1:1B-,1:0,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,1,20.0,13.0,33.0,1:1C,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,1,73.0,0.0,73.0,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,1,62.3,0.0,62.3,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,10,22.0,115.0,137.0,1:1A,1:1B,1:1B,1:1C+,1:1C,1:1B,1:1B-,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,4,68.0,9.0,77.0,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,6,70.0,52.0,122.0,1:1A,1:1B,1:1A,1:1B-,1:1C+,1:1C+,1:1B,1:1B-,0:0NA,0:0NA,1:1A,1:1A,0:0NA,1:1C+,1:1B,1:1A-,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,7,3.0,117.0,120.0,1:1A,1:1B,1:1A,1:1A-,0:0NA,1:1B+,1:1C,1:1A,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1A,0:0NA,1:1A,0:0NA
N,9,0.0,61.0,61.0,1:0F,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,12,9.0,136.0,145.0,1:1B,1:1C,1:1B,1:1B,1:1A-,1:1A-,1:1A,0:0NA,1:1A-,0:0NA,1:1A,1:0,0:0NA,1:1A-,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,4,137.0,45.0,182.0,1:1A,0:0NA,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,5,110.9,43.0,153.9,1:1B,1:1C,1:1C,1:1B,1:1B,1:1B+,2:0,0:0NA,1:1A,0:0NA,1:1B,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,9,36.0,89.0,125.0,1:1D+,2:1A,1:1B+,2:1C,1:1B,1:1B+,1:1A,0:0NA,1:1B+,0:0NA,1:1C,1:1B,0:0NA,1:1B-,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,10,70.0,27.0,97.0,1:1A,1:1B,1:1A,1:1A,1:1A,1:1B+,0:0NA,2:1A,0:0NA,0:0NA,2:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,3,6.7,51.0,57.7,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0NC,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1CR,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,7,9.0,124.0,133.0,1:1B+,1:1D,1:1A,1:1C,1:1A-,1:1A-,1:1B,0:0NA,1:1A-,0:0NA,1:1A,2:1B,0:0NA,0:0NA,2:0F,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA
Y,10,18.0,116.0,134.0,1:1A,1:1B-,1:1B,1:1B+,1:1A-,1:1A-,1:1A,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,1:1A-,0:0NA,1:1B,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA
Y,3,87.9,40.0,127.9,1:1A-,1:1A,1:1A,1:1A,1:1A-,1:1A-,1:1A,1:1A,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,7,63.0,58.0,121.0,1:1C,0:0NA,1:1C,2:1C,1:1C,2:1B-,1:1C,0:0NA,1:1B-,0:0NA,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,3,0.0,9.0,9.0,1:1C+,1:0F,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,6,137.2,61.0,198.2,1:1A,1:1A,1:1A,2:1A,2:1A,1:1A,1:1A,0:0NA,1:1A,0:0NA,1:1A-,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,11,18.0,127.0,145.0,1:1B,1:1C,1:1B,1:1B-,1:1B-,1:1B,1:1C,1:0F,1:1B-,0:0NA,1:1B-,0:0NA,0:0NA,1:1C-,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,5,16.0,58.0,74.0,1:1B-,1:0F,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,9,12.0,137.0,149.0,2:1B,3:1B-,2:1C,1:1C-,1:1B+,1:1B-,1:1C-,0:0NA,1:1B-,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,7,70.0,6.0,76.0,1:0W,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,5,65.0,55.0,120.0,1:1C,1:1C,1:1C,1:1C,1:1B,1:1C,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,1:1B,0:0NA,0:0NA,0:0NA
Y,7,70.0,50.0,120.0,1:1A,1:1A,1:1A,1:1A-,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,2:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,7,0.0,128.0,128.0,1:1A,1:1B-,1:1C+,2:0,1:1A,1:1A-,1:1A,1:1A-,1:1A-,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,4,0.0,131.0,131.0,1:1C+,2:1C,1:1C,2:1C,0:0NA,1:1B-,1:1B,0:0NA,1:1C-,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:0W,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA
N,6,70.0,32.0,102.0,1:1C,1:1B,1:1B,3:0WU,1:0IC,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,11,6.0,115.0,121.0,1:1A-,1:1B+,1:1B,1:1A-,1:1B+,1:1A,1:1B+,0:0NA,2:1A-,0:0NA,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,3,15.0,38.0,53.0,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1CR,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,7,65.0,46.0,111.0,1:1B,0:0NA,1:1C,1:1C-,1:1B-,1:1B,2:1B-,1:0,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C-,2:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA
Y,6,70.0,50.0,120.0,1:1A,0:0NA,1:1B+,2:1A,1:1A,1:1A,2:1A,1:1A,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,5,148.6,46.0,194.6,1:1B,1:1B,1:1A,1:1B+,1:1A-,2:1A-,2:1A-,0:0NA,1:1B,0:0NA,2:0,0:0NA,0:0NA,1:1A,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1A-,1:1A,0:0NA,0:0NA
Y,5,89.0,41.0,130.0,0:0NA,1:1B,1:1A,1:0,1:1B,1:1C,1:1B+,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,6,68.0,56.0,124.0,1:1B,0:0NA,1:1A,1:1B+,1:1A,1:1A-,1:1A,0:0NA,1:1A-,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA
Y,4,67.0,53.0,120.0,1:1A,1:1C,1:1B,1:1C,1:1C+,1:1C+,1:1C,0:0NA,1:1C,0:0NA,1:1B,0:0NA,0:0NA,1:1C+,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,6,0.0,27.0,27.0,2:1C-,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1CR,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,6,67.0,55.0,122.0,1:1A,1:1A,1:1B,1:1A-,1:1A,1:1A-,1:1B+,1:1A,0:0NA,0:0NA,1:1A,1:1A,0:0NA,1:1A-,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA
Y,11,0.0,133.0,133.0,1:1C,3:1C,2:1C-,1:1C,2:1D,1:1C+,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,5,15.0,70.0,85.0,1:1C+,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1CR,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,1,68.5,0.0,68.5,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,5,59.0,31.0,90.0,1:1B,2:0,1:1C-,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,5,44.0,24.0,68.0,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1CR,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,7,0.0,38.0,38.0,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1CR,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,1,0.0,21.0,21.0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0NC,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1CR,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,7,70.0,55.0,125.0,1:1A,1:1B,1:1A,1:1B,0:0NA,1:1B+,1:1A-,1:1A-,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1B,1:1C,1:1B+,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1B+,0:0NA,0:0NA,0:0NA
N,7,0.0,27.0,27.0,1:1B+,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,12,3.0,121.0,124.0,1:1D+,1:1C-,2:1B,1:1C+,1:1A,1:1B-,1:1A-,1:0,1:0,0:0NA,1:1C+,0:0NA,0:0NA,1:1C+,0:0NA,1:1B,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,7,59.0,61.0,120.0,1:1B,0:0NA,1:1B,1:1B,1:1B-,1:1C+,1:1C,1:1A,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA
Y,5,143.0,51.0,194.0,1:1A,1:1D,1:1C,1:1B-,1:1A-,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,5,12.0,12.0,24.0,1:1B,2:0WU,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,3,60.7,16.0,76.7,1:1A,1:1B,1:1A,1:0,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,3,0.0,132.0,132.0,1:1C+,2:1C,1:1C+,1:1D,1:1B,1:1C-,1:1B,1:1B-,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,1:1B-,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
N,1,70.0,0.0,70.0,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
Y,7,52.0,68.0,120.0,1:1B,1:1B,1:1C,1:1B+,1:1B+,1:1B,1:1C,0:0NA,1:1B-,0:0NA,1:1A,1:1A,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
