Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,MATH105,MATH102,MATH104,MATH255A,BIOL106,BIOL107,CHEM101,CHEM102,PHYS100A,PHYS100B,BIOL322,BIOL360,BIOL380,CHEM333,CHEM334
780602B,3,N,0,47,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,9,Y,0,155,1:1C,1:1C+,0:0NA,0:0NA,1:1B,1:1A-,1:1B,1:1C+,1:1B-,1:1C,1:1D,1:1B-,2:1C,2:1C,2:0
780602B,3,Y,79,71,0:0NA,0:0NA,0:0NA,1:0A,0:0NA,1:1B,1:1B,1:1A,1:1A,1:1A-,2:1A,1:1A,1:1A,0:0NA,0:0NA
780602B,4,N,70,12,1:1C,0:0NA,0:0NA,1:0C,0:0NA,3:0,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,2:0F,0:0NA
780602B,1,N,0,14,1:1C+,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,8,Y,70,63,1:1A,1:1B,0:0NA,1:0B,1:1B,1:1C,1:1B,1:1B,1:1B,1:1B-,2:1A,1:1B,1:1A,0:0NA,0:0NA
780602B,5,N,70,35,0:0NA,1:1B,0:0NA,0:0NA,1:1C,0:0NA,1:1C,1:1C,1:1C,1:1D-,1:1C,1:1C,1:1D,2:1D,0:0NA
780602B,3,N,30,36,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,9,N,3,99,0:0NA,1:0,0:0NA,0:0NA,1:1C,2:0D-,1:0,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,0,25,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,Y,70,60,0:0NA,1:1A,1:1B,2:1A-,1:1B+,1:1A,1:1B,1:1B,1:1A-,1:1C,1:1B-,1:1C+,2:1B,1:1B,1:1C+
780602B,6,N,70,29,1:1B,0:0NA,0:0NA,1:0C,0:0NA,0:0NA,1:1C,1:1C,0:0NA,1:1D+,1:1A-,2:1C+,1:1A,0:0NA,0:0NA
780602B,3,N,9,39,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,70,28,1:1B,0:0NA,0:0NA,1:1B+,1:1A,1:1A,1:1A,1:1A,1:1A,1:0,1:1B+,1:1A-,1:1B,2:0,0:0NA
780602B,7,N,70,60,1:1B,0:0NA,0:0NA,1:0C,1:1B,1:1B,1:1C,1:1B,2:1C+,3:1C,1:1C,2:1C+,1:1D,3:1D+,2:1D
780602B,8,Y,89,75,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,3:0F,1:1D,2:1D,1:1C+,1:1D,3:1B,1:1D-,3:1D
780602B,3,Y,35,119,0:0NA,0:0NA,0:0NA,1:1A,1:1C+,1:1C,1:1C+,2:1B,1:1C+,1:1C,1:1B+,1:1C+,1:1C,1:1B-,1:1C
780602B,3,Y,70,76,1:1B,0:0NA,1:1A,1:0A,1:1C+,2:1B,1:1C,1:1B,0:0NA,0:0NA,1:1C+,1:1C,1:1A,1:1B-,1:1B
780602B,7,Y,18,162,0:0NA,1:1B,1:1B,1:1C+,1:1B,1:1B,1:1B-,2:1B,1:1B,1:1C+,1:1B+,1:1B,1:1B-,1:1C,3:0C
780602B,8,Y,6,174,0:0NA,1:1B,1:1B+,1:1B,2:1A,1:1B,1:1B-,1:1B,1:1B,1:1C+,1:1B,1:1B+,1:1B+,1:1B,1:1B
780602B,6,Y,70,70,1:1B,0:0NA,1:1B,1:0A,1:1B,1:1A-,1:1A,1:1A,1:1A,1:1A,3:1B,1:1C+,1:1A,1:1C,1:1B
780602B,7,N,68,17,0:0NA,2:1C,3:0D,0:0NA,1:1C,2:1D,1:1D,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA
780602B,11,N,70,80,1:1C,0:0NA,0:0NA,0:0NA,2:1C,1:1B,1:1B,1:1D,2:1C,1:1D,2:1D,2:1B+,1:1C-,2:1C-,1:1D
780602B,11,N,0,95,1:1D,2:1B+,0:0NA,0:0NA,1:1B,1:1C+,2:0,2:1B,1:0,0:0NA,3:0B,0:0NA,0:0NA,1:0,0:0NA
780602B,5,Y,97.5,39,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B,1:1C,0:0NA,1:1A,1:1C+,1:1B-,1:1C,0:0NA,1:1B+
780602B,6,N,11,159,3:0F,0:0NA,0:0NA,1:0,1:1D,1:1C,2:1C,3:1D+,2:1D,1:1D,2:1C-,1:1C,1:1C-,3:1D+,1:0F
780602B,18,Y,20,130,1:1C,0:0NA,0:0NA,2:1C,1:1B,1:1B-,1:1C,1:1C-,1:1B-,1:1C,1:1C,1:1C-,3:1C-,3:0D+,2:0F
780602B,3,N,120.6,31,1:1C,0:0NA,0:0NA,1:1C,1:1B,1:1B,1:1C,2:0F,1:1C,1:1C+,1:1B,2:1C+,1:1C,1:1C,2:1C
780602B,10,N,0,115,0:0NA,1:1C,2:1C+,3:0F,2:1C,2:1C,0:0NA,0:0NA,2:0WU,0:0NA,1:1C-,3:0F,0:0NA,0:0NA,0:0NA
780602B,8,Y,3,148,0:0NA,1:1A,1:1A-,1:1A,1:1B+,1:1A-,1:1B+,1:1B+,1:1A-,1:1B,1:1A-,1:1A,1:1A,1:1B+,1:1A
780602B,4,N,70,12,0:0NA,0:0NA,0:0NA,1:0B,1:1D,1:1C,1:1C,1:1C,1:1B,1:1B,1:1D,1:1C-,1:1C,3:0F,0:0NA
780602B,8,Y,76,62,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1C,2:1B-,3:1C,1:1A-,1:1B+,2:1C+,0:0NA,0:0NA
780602B,6,N,37,50,0:0NA,1:1B,1:1A,0:0NA,2:1A,2:1D-,1:1B-,2:0F,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,11,Y,77,66,0:0NA,1:1B,0:0NA,1:0C,1:1B,1:1C,1:1C,2:1C+,1:1C,1:1D,2:1C+,1:1B-,2:1C-,1:1C,2:1C
780602B,8,N,59,58,0:0NA,0:0NA,0:0NA,1:0C,1:1B,1:1B,1:1C,1:1B-,1:1A,2:1B-,1:1A,1:1A,2:1C,1:1C+,1:1C
780602B,6,N,70,5,1:1C,0:0NA,0:0NA,1:0D,1:1C,1:1C,1:1B,3:0F,2:0F,1:0,3:0F,3:1C,0:0NA,0:0NA,0:0NA
780602B,5,N,83,69,1:1B+,0:0NA,0:0NA,1:0B,1:1B,1:1A,1:1A,1:1A,1:1A-,1:1B,1:1C+,3:1B,3:1A,2:1C-,1:0
780602B,8,Y,23,133,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1A,2:1A,1:1A,1:1A,2:0,1:1A,1:1A,1:1A,1:1A,1:1A
780602B,8,Y,125,32,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A,1:1A-,1:1A,1:1A,0:0NA,0:0NA
780602B,5,Y,97.5,39,1:1A,0:0NA,0:0NA,0:0NA,1:1D+,1:1C,1:1C,1:1C,0:0NA,1:1A,1:1C-,1:1C,1:1D,0:0NA,1:1B
780602B,6,N,127,30,1:1D,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1C+,1:1B,1:1B+,1:1B+,1:1C,0:0NA,0:0NA
780602B,2,Y,93.6,43,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1,1:1,0:0NA,1:1B,1:1A-,1:1A,1:1A,0:0NA,0:0NA
780602B,3,N,6,29,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,70,17,1:1B,1:1B,1:1A,1:1A-,1:1B,1:1A-,1:1A,1:1A,2:0,0:0NA,0:0NA,1:1C+,1:0,1:1D+,0:0NA
780602B,3,N,0,36,0:0NA,2:1D,0:0NA,0:0NA,2:1C+,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,9,N,24,59,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1A-,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,85,4,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,13,Y,23,127,0:0NA,1:1B+,1:1B,1:1B-,1:1C,2:0,1:1B+,1:1C+,1:1B,4:1C,1:1B-,2:1A,1:1B+,1:1C+,1:1B
780602B,1,N,76,0,1:1C,0:0NA,1:1C,1:0B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,0,76,0:0NA,2:1B+,1:1B,1:1B,1:1A-,2:1C+,1:1B-,0:0NA,2:1C+,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA
780602B,1,N,10,59,1:1C+,0:0NA,0:0NA,1:1C+,1:1C,1:1B-,1:1B,1:1C-,0:0NA,0:0NA,1:1B,1:1C,0:0NA,1:1C+,1:1C
780602B,5,Y,0,145,1:1C,0:0NA,0:0NA,2:1C+,2:1B,1:1C+,3:0C+,1:1D+,1:1C,1:1C,1:1C+,1:1B,4:0,3:0A,1:1C
780602B,18,N,5,143,0:0NA,4:1C,1:1C,3:0,1:1B,3:1C,2:0,2:1C-,2:0,3:1C-,2:1C,4:1C+,1:1C-,1:1B-,1:1C+
780602B,1,N,87,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,11,N,9,150,1:1B,0:0NA,0:0NA,1:1B,2:1C,1:1C,1:1B,1:1D,1:1C,2:1D+,1:1B-,1:1B+,1:1B,1:1C-,2:1D
780602B,10,Y,0,145,1:1C,0:0NA,0:0NA,1:1C,1:1C,1:1C+,3:1C,1:1D,2:1C,2:0,1:1B-,1:1C+,1:1D,2:1C,1:1C-
780602B,4,N,12,130,1:1C+,0:0NA,0:0NA,1:1A,2:1C-,1:1B,1:1C+,1:1C-,1:1C,1:1C,2:1C+,1:1C+,1:1B,1:1C,1:1C
780602B,15,Y,69,96,1:1C,0:0NA,1:1C,1:1B,0:0NA,1:1B,1:1C,1:1A,1:1C,1:1C,1:1C,2:1A-,1:1A,0:0NA,0:0NA
780602B,1,N,10,12,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,61,0,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,9,N,70,69,0:0NA,0:0NA,0:0NA,1:0C,1:1C,0:0NA,1:1B,1:1C,2:1B-,1:1A,1:1B-,1:1B-,1:1B-,2:1A-,2:1C
780602B,4,N,70,42,1:1C,0:0NA,0:0NA,1:0B,1:1A,1:1B,1:1B,1:1B,1:1A,1:1C,1:1A-,1:1A,1:1B,0:0NA,1:1C
780602B,6,N,13,65,0:0NA,3:1A,0:0NA,0:0NA,2:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,10,Y,6,168,2:1C,0:0NA,0:0NA,2:1B-,2:0,1:1C,1:1D,3:1C,3:1C,3:1D-,1:1C,2:1C+,4:1C,2:1D+,2:1D-
780602B,4,Y,94.7,64,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:1B,1:1C-,1:1C,1:1C,2:1D,2:1D
780602B,3,Y,70,69,1:1B,0:0NA,0:0NA,1:0A,1:1B,2:1A,1:1B,1:1B,0:0NA,0:0NA,1:1A-,2:1A-,1:1A,1:1A-,1:1B
780602B,1,N,70,0,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,70,29,0:0NA,1:1C,1:1C,0:0NA,1:1B,1:1B,1:1C,1:1C,2:0WU,0:0NA,1:1B,1:1C,1:1C+,4:0F,0:0NA
780602B,4,N,40,58,1:1C+,2:1B-,1:1D,0:0NA,1:1B-,1:1B-,0:0NA,0:0NA,3:0,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,16,53,0:0NA,3:0F,0:0NA,0:0NA,1:1C+,3:0,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,10,N,6,78,2:1B,0:0NA,0:0NA,1:0W,1:1B,3:1C+,1:1C+,0:0NA,0:0NA,0:0NA,2:0WU,5:0WU,0:0NA,0:0NA,0:0NA
780602B,2,Y,54,137,0:0NA,0:0NA,0:0NA,1:1A,1:1A,2:1A,2:1A,1:1A,1:1A-,2:1A-,1:1A,1:1A,1:1A,1:1B,1:1A-
780602B,6,N,58,9,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,50,13,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,13,Y,6,161,0:0NA,1:1B,2:0,1:1B,2:0,1:1B+,3:1A-,1:1A-,1:1A-,2:1B,1:1C,1:1B+,1:1A,2:1A-,3:1C
780602B,12,Y,72,81,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1B,1:1B,2:0D-,1:1C,2:1C,1:1B+,1:1B-,1:1A,1:1D,2:1C
780602B,3,N,18,43,0:0NA,2:1C,1:1C+,0:0NA,4:1B-,1:1B,3:1B+,2:1C-,1:1C+,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,12,Y,6,153,0:0NA,2:1C+,2:1B,0:0NA,1:1C+,1:1C,1:1A-,1:1C,2:1C+,2:1C,1:1C+,1:1C+,1:1C,1:1C,1:1C
780602B,7,Y,17,105,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1A,1:1B+,1:1A,1:1A,1:1B-,1:1A,1:1A-,1:1C+,1:1D+
780602B,6,N,0,21,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,9,N,148.1,41,0:0NA,1:1B,0:0NA,0:0NA,1:1A,1:1B,0:0NA,0:0NA,1:1B,1:1B-,2:1B,1:1B,1:1A,1:1B+,1:0
780602B,1,N,22,34,0:0NA,2:0,2:1B,0:0NA,2:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,70,15,0:0NA,1:0F,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,65.5,9,1:1C,0:0NA,0:0NA,1:0,1:1C,1:1C,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA
780602B,4,N,70,9,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,10,Y,70,63,0:0NA,1:1B,0:0NA,1:0C,1:1B,1:1C,1:1B,1:1C,1:1B,3:1C,2:1B-,2:1B,2:1C,4:1C,2:1B
780602B,4,N,70,5,0:0NA,4:0WU,2:0F,0:0NA,2:1C,1:0F,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,17,51,0:0NA,1:1B+,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,27,15,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,7,N,26,71,1:1B,0:0NA,0:0NA,1:1C+,1:1C,1:1C,1:1C,2:0,2:1C,2:1C,1:0,0:0NA,0:0NA,1:1C,2:1C-
780602B,6,N,24,27,0:0NA,2:0F,0:0NA,0:0NA,3:0F,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,14,42,0:0NA,1:1C,1:1A-,1:1A,1:1A,1:1B+,2:1A-,1:1B-,2:1A,1:1B+,1:1B+,1:1C+,1:1B,2:1C,2:0F
780602B,5,N,15,34,0:0NA,2:1D,0:0NA,0:0NA,1:1C,1:0F,1:1A-,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,0,46,0:0NA,1:0F,0:0NA,0:0NA,1:1B-,1:1C+,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,13,76,0:0NA,2:0F,1:0W,0:0NA,1:1C,2:1C,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,73.9,8,0:0NA,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA,0:0NA,1:0F,1:0WU,0:0NA,2:0F,1:1D,0:0NA,0:0NA,0:0NA
780602B,10,Y,35,97,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,2:0,1:1A-,1:1A,1:1A,1:1A,1:1A,1:1B+,1:1B+,1:1A
780602B,12,N,73.3,83,0:0NA,2:1B,1:1B,0:0NA,1:1B-,2:1D,2:1C,1:1D,1:1C-,1:1D-,1:1B,1:1C+,1:1B-,2:1D+,2:1C-
780602B,3,N,0,99,0:0NA,1:1D+,0:0NA,0:0NA,1:1C,3:1B,4:0F,2:0,0:0NA,0:0NA,2:0,1:0,0:0NA,0:0NA,0:0NA
780602B,9,Y,96,59,0:0NA,1:1A,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,2:0WU,1:1C+,1:1B,1:1C-,3:1C-,2:1B,1:1C
780602B,8,N,33,52,1:1A,0:0NA,0:0NA,2:1A-,2:0WU,0:0NA,1:1C,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,Y,70,71,0:0NA,0:0NA,0:0NA,1:0B,2:0,1:1C,1:1B,1:1C,1:1B,1:1A-,1:1C+,1:1A,1:1B+,2:1B,1:1C
780602B,1,N,70,14,1:1A,0:0NA,0:0NA,1:1B,1:1A,1:1,1:1B,1:1A,1:1A,2:1A,2:1A,2:1A,2:1A,1:1B+,1:1A
780602B,9,N,18,68,0:0NA,2:1C-,0:0NA,0:0NA,4:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,10,Y,70,78,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1C-,3:0C-,1:1C+,2:1A,1:1C-,2:1B+,1:1A,2:1D,1:1D
780602B,1,Y,70,71,0:0NA,0:0NA,0:0NA,1:1C+,1:1B,1:1C,1:1C,1:1B,1:1C,3:0,1:1C+,1:1C,1:1A,2:1C-,2:1C-
780602B,9,N,70,35,0:0NA,1:1C,1:1A,0:0NA,1:1D+,1:1C,1:1C,1:1C,1:1D,1:1A,1:1D,1:1C+,1:1C,2:0F,0:0NA
780602B,7,Y,70,60,0:0NA,0:0NA,0:0NA,1:0A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1B+,1:1A,2:1A,0:0NA,0:0NA
780602B,10,Y,22,117,1:1B,0:0NA,0:0NA,1:0B,1:1A,1:1B,1:1A-,1:1B,1:1A,1:1A,1:1A,1:1A-,1:1A,2:0,3:1A-
780602B,7,N,37,41,0:0NA,2:0,0:0NA,0:0NA,1:0,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,Y,70,80,1:1C,0:0NA,0:0NA,1:0A,1:1C,2:1B,1:1B,1:1B,0:0NA,0:0NA,1:1C+,1:1A,1:1A,1:1B+,1:1B
780602B,11,Y,35,121,0:0NA,1:0,0:0NA,0:0NA,1:1A,1:1A,1:1C+,1:1A,1:1A-,2:1A,1:1A,1:1A,1:1A-,1:1A,1:1B
780602B,8,Y,70,51,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1C,1:1A,1:1A,1:1B,3:1B,1:1C,1:1B-,1:1C,2:1C
780602B,9,Y,70,78,1:1A,0:0NA,1:1A,1:0B,1:1A-,1:1A,1:1C,1:1B,1:1A,1:1C+,1:1A-,1:1A,1:1A-,0:0NA,0:0NA
780602B,1,N,56,8,0:0NA,1:0F,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,114.6,28,0:0NA,1:1B,1:1B,0:0NA,1:1D,2:0,1:1C,1:1C,1:1C,0:0NA,1:0WU,2:1C-,1:1C+,2:0,4:1D-
780602B,9,Y,12,139,2:1C,0:0NA,0:0NA,1:1B,2:1C,2:1C,2:1C,1:1C-,2:1C,1:1C,2:1A,1:1C+,2:1B,3:0C+,4:1B
780602B,8,Y,70,81,1:1B,1:1A,1:1B,1:0C,1:1,1:1,1:1B,1:1C,1:1B,2:1A,1:1B,1:1A,1:1B+,1:1A-,1:1B+
780602B,6,Y,70,86,1:1B,1:0,1:1C,1:0B,2:1B+,1:1C,2:1B,3:1C,4:0A-,3:0,2:1B+,1:1B-,3:1C,1:1B,3:0
780602B,7,Y,3,119,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A,1:1C+,2:1A-,1:1C,3:0,1:1C-,1:1A-,1:1C+,1:1C+,1:1C+
780602B,6,N,31,40,0:0NA,0:0NA,0:0NA,0:0NA,2:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,15,Y,33,119,0:0NA,1:1C,2:0,1:1B,1:1C,1:1C,2:1C,2:1B,2:1C,3:1C,1:1B-,1:1B,3:0,2:1B-,3:1D
780602B,5,Y,71,76,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1B,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A-,1:1A,1:1A
780602B,5,N,78,19,0:0NA,0:0NA,0:0NA,1:0B,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,1:1C,1:1B+,1:1B+,1:0,1:1D+
780602B,7,Y,14,132,0:0NA,1:0,0:0NA,1:1B,2:1C,1:1B,1:1B+,1:1C-,1:1C,1:1C,2:1D,1:1B,1:1C,1:1C,1:1C-
780602B,8,Y,59.6,65,1:1C,0:0NA,0:0NA,1:1C-,1:1,1:1,1:1,1:1,1:1C,2:1C+,1:1C,1:1C+,1:1C,1:1C,2:0
780602B,5,Y,70,54,1:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1C,1:1B,1:1C-,1:1B+,1:1A,0:0NA,0:0NA
780602B,4,N,10,47,0:0NA,2:1C,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,Y,17,122,1:1A-,0:0NA,0:0NA,1:1C,1:1C+,1:1C,2:1B-,1:1C,4:0,1:1B+,2:0,1:1C,1:1C-,2:0,1:1D-
780602B,9,Y,12,130,1:1A,1:1A,0:0NA,1:1A,1:1A,1:1B,1:1C+,1:1B-,2:1B-,3:1C,1:1B-,1:1A,1:1A,1:1C,4:1B
780602B,10,Y,59,100,1:1C,1:1B,1:1C,1:0C,1:1B,1:1A-,1:1B,1:1C,1:1C+,1:1B-,1:1B,1:1A-,1:1A,2:1C,2:1A-
780602B,5,N,6,52,0:0NA,2:0,0:0NA,0:0NA,1:1C,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,Y,70,57,1:1B,0:0NA,1:1A,0:0NA,1:1B,1:1C,1:1C,1:1C,1:1B,1:1A,2:1A-,1:1A,1:1A-,1:1A-,1:1A-
780602B,11,Y,22,141,0:0NA,1:1B,1:1B,1:1B,1:1C,1:1B,1:1C+,1:1C,1:1C-,1:1C+,1:1B,1:1C+,1:1B+,1:1D,1:1D
780602B,6,N,15.3,45,0:0NA,1:1B,2:0F,0:0NA,2:1C,0:0NA,2:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,Y,70,56,0:0NA,1:1A,1:1A,1:0B,1:1C+,1:1B,1:1A,1:1A,1:1A,2:1A,1:1C,1:1B,1:1B+,1:1C,1:1C
780602B,12,Y,15,163,0:0NA,1:1C,1:1B,4:0C,1:1C+,1:1C,1:1C,2:1C,2:1C-,1:1D+,1:1B-,1:1B,1:1D,2:1C-,2:1D
780602B,10,Y,0,156,1:1C,0:0NA,0:0NA,1:0,2:0,1:1C+,1:1C+,1:1C+,3:1B,4:1C,2:1B+,1:1B+,1:1B+,3:1C+,3:1C+
780602B,5,N,20,90,0:0NA,0:0NA,1:1D,0:0NA,2:1C,1:1B,1:1C+,1:1D,1:1C+,1:1C,1:1C+,1:1B-,2:1C,2:1D+,1:1C+
780602B,8,N,32.5,66,0:0NA,1:1B-,2:0,1:0,1:1C,1:0F,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,7,Y,69,69,1:1C,1:1C,0:0NA,1:0C,1:1B,1:1B,1:1C,1:1C-,1:1B,1:1B+,1:1B,1:1C,1:1B,1:1C,2:1B
780602B,2,Y,70,84,0:0NA,1:1C,1:1C,2:1C,1:1C,1:1B,1:1C,1:1C-,4:0,1:1D,2:1B-,2:1A,1:1C+,1:1D+,2:1C
780602B,2,Y,86,60,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:0,0:0NA,1:1B-,2:0,1:1C,1:1B,1:1C+,1:1B+,1:1B+,2:1B
780602B,7,N,70,9,0:0NA,3:0F,0:0NA,0:0NA,2:1C-,0:0NA,3:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
