Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,MATH105,MATH102,MATH104,MATH255A,BIOL106,BIOL107,CHEM101,CHEM102,PHYS100A,PHYS100B,BIOL322,BIOL360,BIOL380,CHEM333,CHEM334
780602B,2,N,70,12,1:1B,0:0NA,1:1B,0:0NA,1:1C,1:1C+,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,0,58,1:1B-,0:0NA,0:0NA,1:1A,1:1B+,0:0NA,2:0F,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,6,44,1:1B-,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,5,35,1:1C,0:0NA,0:0NA,1:0F,1:1C-,1:1C,1:1C,1:1B,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,3,108,0:0NA,1:1D,0:0NA,0:0NA,2:0W,1:0U,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,11,41,0:0NA,1:1C-,1:1C+,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,3,64,3:1D-,0:0NA,0:0NA,0:0NA,3:0C,0:0NA,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,43,9,1:1B,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,15,87,2:0F,0:0NA,0:0NA,0:0NA,2:1C,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,0,50,0:0NA,0:0NA,0:0NA,1:1C,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,42,90,1:0U,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,3:0F,1:1B,0:0NA,1:1C,2:0F,1:1B-,2:1A-,0:0NA,0:0NA
780602B,3,N,0,49,0:0NA,4:0W,0:0NA,0:0NA,4:0D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,12,51,2:1B,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,70,27,2:0F,0:0NA,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,6,80,1:1C,0:0NA,0:0NA,1:1C-,1:1C,0:0NA,2:0F,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,12,67,0:0NA,0:0NA,0:0NA,1:1A,1:1C,0:0NA,2:1D,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,0,90,1:1A,0:0NA,0:0NA,1:1A-,1:1A,1:1B,1:1C,1:1B,1:1A,1:1B-,1:1C,1:1C+,1:1B,1:1C,1:1B
780602B,1,N,16,58,0:0NA,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,27,57,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,6,14,1:1B,2:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,6,31,0:0NA,1:0F,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,70,12,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1C,1:1C,0:0NA,0:0NA,1:0W,2:1C+,0:0NA,1:0W,0:0NA
780602B,6,N,30,111,0:0NA,0:0NA,0:0NA,1:1A-,1:1B,1:1A-,0:0NA,1:1A-,1:1A,1:1A,1:1B,1:1A,1:1A,1:1A,1:1B+
780602B,1,N,5,45,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,0,27,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,9,81,1:1C,0:0NA,0:0NA,3:0C-,1:1D,1:1C,2:0F,2:0F,1:1D,1:0F,2:1C,1:1D,0:0NA,0:0NA,0:0NA
780602B,2,N,46,26,0:0NA,0:0NA,0:0NA,1:1C,1:0W,0:0NA,1:1C,1:1B,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:0W
780602B,2,N,21,25,0:0NA,1:1C,1:1A,1:1C,0:0NA,0:0NA,1:1B+,1:1A,1:1B+,1:1B,1:1B-,1:1B+,1:1B,1:1B+,1:1B
780602B,3,N,9,79,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1B,1:1C+,1:1B+,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,2:0F,0:0NA
780602B,1,N,70,23,0:0NA,1:0F,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,48,33,1:1D,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D+,0:0NA,0:0NA,0:0NA
780602B,2,N,66.5,24,3:0,1:1C,0:0NA,0:0NA,1:1C,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,8,N,15,114,2:1B,0:0NA,0:0NA,3:0C,3:1C,3:1C,1:1D,1:1D-,0:0NA,0:0NA,2:0F,1:0,3:0F,0:0NA,0:0NA
780602B,2,N,70,14,0:0NA,1:1,1:1C+,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,2:0F,0:0NA
780602B,3,N,33,82,2:0F,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,10,58,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,32,49,6:0,0:0NA,0:0NA,0:0NA,1:1B,1:0F,2:1B+,2:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,6,N,0,98,1:1A,0:0NA,0:0NA,1:1C,1:1C+,1:1B,1:1C+,3:0C,1:1B,1:0F,3:1D,2:1D,0:0NA,0:0NA,0:0NA
780602B,5,N,0,77,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,9,61,2:1B,0:0NA,0:0NA,2:1B+,1:1C+,1:1B,1:1A-,1:1A-,0:0NA,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA
780602B,5,N,6,69,1:1A,0:0NA,0:0NA,1:1A-,1:1A,1:1A,1:1A-,1:1B-,1:1A,1:1B,2:0,1:1B+,1:1C-,2:1B-,1:1D
780602B,7,N,18,94,1:1B-,0:0NA,0:0NA,1:1C+,1:1C,2:1A-,2:1B-,2:1C,2:1C,2:1C,2:1C,1:1C,1:1C,1:1C,2:1D
780602B,7,N,6,71,1:1C,0:0NA,0:0NA,1:1C,1:1C,1:1C,1:1C,1:1C-,1:1C+,1:1B,3:1B,1:1A,1:1C,1:1B-,1:1C
780602B,3,N,15,68,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,2:0U,2:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,14,76,0:0NA,1:1C,1:1C,1:0C,1:1C-,2:1C,1:1C-,2:1C,3:1A-,1:1C,1:1C+,2:1B,1:1D,0:0NA,0:0NA
780602B,3,N,84,17,0:0NA,1:1C,0:0NA,0:0NA,2:1A-,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,70,27,1:1C,0:0NA,0:0NA,1:0C,1:1B,1:1C,1:1C,1:1C,1:1C+,1:1A-,1:1C-,1:1C+,1:1C+,1:1C,2:1C
780602B,2,N,18,49,0:0NA,1:1C,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,8,N,4,156,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,3:0W,0:0NA,0:0NA,1:0W,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,49,64,1:1B,0:0NA,0:0NA,1:1A,1:1A,1:1A,1:1B,1:1A-,1:1B-,1:1A-,1:1B+,2:1A,1:1B,1:1B,1:1A
780602B,1,N,3,6,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,5,N,5,104,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,0:0NA,0:0NA,1:1C-,1:1C+,1:1C,1:1D,0:0NA,0:0NA,0:0NA
780602B,1,N,76,26,0:0NA,0:0NA,0:0NA,1:0B,1:1B,1:1B,1:1A,1:1A,1:1A-,1:1A,1:1A,1:1B+,1:1B,0:0NA,0:0NA
780602B,1,N,30,24,2:1B,0:0NA,0:0NA,1:0C,1:1C,1:1C,1:1C+,2:1C+,1:1B,1:1A,1:1B,1:1A,1:1A,1:1C,1:1A
780602B,1,N,18,46,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,0,35,0:0NA,2:1C,0:0NA,0:0NA,1:1C,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,4,N,0,46,0:0NA,1:1A,1:1A,2:0,1:1B,0:0NA,2:1B+,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
