Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120
233904B,6,N,68,28,1:0F,0:0NA,1:0F,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,4:1C,0:0NA,0:0NA,0:0NA,2:0
233904B,3,N,70,75,1:1A,1:1B,1:1A,1:1B,1:1B-,1:1B,0:0NA,0:0NA,1:1C,1:1B,0:0NA,1:1B,1:0B,1:1C,0:0NA
233904B,6,N,68,55,1:1B,2:1B,1:1C,2:1D+,1:1C-,1:1B-,0:0NA,0:0NA,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:1A,0:0NA
233904B,17,Y,17,136,2:1B+,1:1B,1:1C,1:1C-,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,3:0A-,0:0NA,0:0NA,1:1B,0:0NA
233904B,3,N,70,56,1:1A,1:1C,2:1B,1:1D,1:1C-,1:1A-,0:0NA,0:0NA,1:1C,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA
233904B,5,N,69,0,1:1A,1:0W,0:0NA,1:0W,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1C,0:0NA
233904B,3,N,70,30,3:0,2:0F,1:1B-,1:1B,0:0NA,1:1B-,0:0NA,2:1B,1:1C,1:1C,0:0NA,1:1A,0:0NA,1:1C,0:0NA
233904B,4,N,55,25,1:1C,2:0,1:0F,1:1D,0:0NA,1:1B,0:0NA,0:0NA,1:1A,1:1C,4:0F,0:0NA,0:0NA,0:0NA,1:1B
233904B,7,N,27,65,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,3,N,94,12,0:0NA,1:1B,2:1C+,1:0F,0:0NA,1:0F,1:0F,0:0NA,1:1B,1:1B,0:0NA,1:1C,1:0C,1:1B,0:0NA
