Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120
233904B,3,N,56,15,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:0,1:1C,0:0NA,0:0NA,1:0
233904B,2,N,4,16,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA
233904B,3,N,82,12,1:1C,2:0,1:1C,1:1C,1:0,0:0NA,0:0NA,1:1B,1:1B,1:1B,0:0NA,1:1B,0:0NA,1:1B,0:0NA
233904B,2,N,23,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:1A,0:0NA,0:0NA,1:0,0:0NA
233904B,3,N,70,9,1:1A,1:1C,2:0,1:1C,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1A,0:0NA,1:1B,1:0B,1:1A,0:0NA
233904B,2,N,29,13,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:0
233904B,3,N,0,15,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,70,15,1:1B,1:1B+,1:1C,1:1B-,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1A,0:0NA,1:1B,0:0NA,1:1C,0:0NA
233904B,2,N,9,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,2:0,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,2:0
233904B,3,N,0,7,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,4,N,45,33,1:1A,0:0NA,1:0,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B-,1:1C+,1:1B+,0:0NA,0:0NA,1:1B+,0:0NA
233904B,2,N,5,14,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1A,1:0,1:1A-,0:0NA,0:0NA,0:0NA,1:0
233904B,2,N,70,12,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,1:1A,1:1B,1:1A,0:0NA,1:0A,0:0NA,3:0
233904B,2,N,67,12,1:1A,1:0,0:0NA,1:0,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1A,1:0,0:0NA,0:0NA,1:1A,0:0NA
233904B,1,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,1,N,70,0,1:1B,1:0,1:0,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1B,1:1B,1:1A,0:0NA,1:0A,1:1A,0:0NA
233904B,1,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,1,N,61,0,1:1A,1:0,1:0,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1A,0:0NA,0:0NA,1:1A,0:0NA
233904B,1,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,1,N,83,0,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1A,2:0,0:0NA,0:0NA,1:1A,0:0NA
233904B,1,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,1,N,44,0,1:1,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,1,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,73,15,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,1:1C,1:0,2:0,0:0NA,0:0NA,1:0,0:0NA
233904B,2,N,70,12,1:1B,1:1D,0:0NA,2:0,0:0NA,4:0,0:0NA,0:0NA,1:1C,2:1C,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA
233904B,2,N,110,7,1:0,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,1:0,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,31,14,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0B-,1:0B-,0:0NA,0:0NA,0:0NA,1:1A,0:0NA
233904B,2,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,1,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,3,N,45,12,0:0NA,1:0,1:1C,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1C,0:0NA,1:1B,1:0B,1:1B,0:0NA
233904B,2,N,0,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,3,N,0,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,3,N,55,10,1:1A,1:0,0:0NA,1:0,0:0NA,1:1A,0:0NA,0:0NA,1:1A,2:0,0:0NA,0:0NA,0:0NA,3:0,0:0NA
233904B,2,N,0,1,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,70,12,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:0,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,5,N,57.3,40,1:1B,1:1A,1:1A-,1:1A,1:0,0:0NA,1:1B+,0:0NA,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1B,0:0NA
233904B,3,N,70,16,1:1A,0:0NA,1:0,1:1B-,0:0NA,1:1B-,0:0NA,0:0NA,1:1B,1:1B,1:1B+,0:0NA,0:0NA,0:0NA,1:0
233904B,2,N,70,12,1:1A,1:1B+,1:1B,1:1C,1:0,1:1A,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,1,N,27,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,0,10,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,1:0,0:0NA
233904B,2,N,60,9,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:1C,0:0NA,0:0NA,1:1A,1:1B,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,60,12,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,1:0,0:0NA,0:0NA,1:1C,0:0NA
233904B,3,N,70,16,1:1A,2:0,1:0,1:0,0:0NA,0:0NA,0:0NA,1:1B+,1:1C,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1B
233904B,3,N,82,6,1:1A,1:1A,1:0,1:1A,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,0:0NA
233904B,5,N,3,20,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:1B,0:0NA,0:0NA,1:0,0:0NA
233904B,10,N,64,42,1:1C,1:0,1:0,1:1D,0:0NA,1:1A,0:0NA,2:1B+,1:1B,1:1C,1:1A-,0:0NA,0:0NA,2:1B+,0:0NA
233904B,2,N,69,13,1:1B,0:0NA,1:0,0:0NA,0:0NA,1:1A-,0:0NA,1:0,1:1B,1:0,1:1A,0:0NA,0:0NA,1:0,1:0
233904B,7,N,43,57,1:0,0:0NA,1:0,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,3:0,1:0,4:1A,0:0NA,0:0NA,1:1B-,0:0NA
233904B,5,N,80,40,1:1B,1:1B,1:1C,1:1B,1:1B-,1:1B,0:0NA,0:0NA,1:1C,1:1C,1:1B-,0:0NA,0:0NA,1:1C,0:0NA
233904B,5,N,47,41,1:1A,2:1B,2:1C,2:1B,1:0,1:1B,0:0NA,0:0NA,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1A,0:0NA
233904B,5,N,0,41,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,2:0,1:0,1:1A,0:0NA,0:0NA,1:0,0:0NA
233904B,6,N,80,32,1:1B,2:1B,1:1C+,1:1C,1:0,1:1C,0:0NA,0:0NA,1:1B,1:1A,1:0,1:1A,0:0NA,1:1A,0:0NA
233904B,2,N,70,12,1:1A,1:1C,1:1C,1:0,0:0NA,1:1B,0:0NA,0:0NA,1:1A,1:1A,1:1C,1:1A,1:0C,1:1C,0:0NA
233904B,5,N,70.3,39,1:1B,1:1C,1:1C,2:1C,1:1D,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1A-,0:0NA
233904B,7,N,61.9,37,1:1C,2:1B,2:1C,1:1C+,1:1C,2:1D,0:0NA,0:0NA,1:1A,1:1C,1:1A,0:0NA,0:0NA,1:1C,0:0NA
233904B,6,N,0,36,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,2:0,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:0
233904B,3,N,61,30,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,1:0,0:0NA,1:0,1:1C,2:0,0:0NA,0:0NA,1:1C,0:0NA
233904B,2,N,63,12,1:1A,0:0NA,1:0,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:0
233904B,3,N,0,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:0,1:0
233904B,2,N,0,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1D,1:0,1:1C-,0:0NA,0:0NA,0:0NA,2:0
233904B,2,N,0,12,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,3,N,63.3,15,1:1A,1:0,0:0NA,1:1B-,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1A,0:0NA
233904B,2,N,0,14,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:0
233904B,2,N,68,12,1:1B,1:1C,1:0,1:1D+,0:0NA,0:0NA,0:0NA,1:0,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,3,N,0,1,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,28,13,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA
233904B,2,N,0,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,3,N,70,12,1:1C,1:0,1:1D-,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1A,1:1C,1:1B,1:1C,1:0C,0:0NA,1:1D-
233904B,5,N,69,27,1:1C,1:1B,1:1C,1:1B-,1:1C,0:0NA,0:0NA,1:1C-,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1A,0:0NA
233904B,2,N,70,12,1:1C,2:0,1:1B,2:0,0:0NA,1:1A,0:0NA,1:1B+,1:1A,1:1A,1:1B,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,57,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,3,N,58,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1C,2:0,0:0NA,0:0NA,1:1B,0:0NA
233904B,3,N,70,12,1:1C,1:1C+,2:0,1:1C,0:0NA,1:1B,0:0NA,0:0NA,1:1A,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,39,11,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,5,N,68,33,1:1,1:1B,1:1B,1:1A-,1:0,2:1B,0:0NA,0:0NA,1:1B,1:1B,0:0NA,1:1B,1:0B,0:0NA,1:1B+
233904B,2,N,65,12,1:1B,1:0,1:1B,1:0,0:0NA,0:0NA,0:0NA,1:0,1:1A,1:1B,1:1A,0:0NA,1:0A,1:1B,0:0NA
233904B,2,N,6,13,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,1:0,0:0NA
233904B,2,N,70,6,1:1C,1:1D,1:1D-,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1C,0:0NA
233904B,2,N,70,12,1:1C,1:0,2:0,1:1C+,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1C,1:1C,0:0NA,0:0NA,1:1C,0:0NA
233904B,8,N,70,51,1:1A,1:1A,1:1C,1:1A,1:1B+,1:1B,0:0NA,0:0NA,1:1B,1:1A,0:0NA,1:1D,1:0D,1:1C,0:0NA
233904B,7,N,9,102,1:1C,1:1B,1:1B-,1:1B,1:1B+,1:1B+,0:0NA,0:0NA,2:1B,1:1A,2:1C,0:0NA,0:0NA,1:0,3:1B
233904B,7,N,0,92,2:1B,1:1B,2:0,1:1C+,1:1C-,1:1A,0:0NA,0:0NA,1:1B+,1:1A-,1:1A,0:0NA,0:0NA,1:1B+,0:0NA
233904B,5,N,0,108,1:1C,2:1D+,2:1C,1:1D,1:0,1:1B,0:0NA,0:0NA,1:1C,1:1C-,2:1A,0:0NA,0:0NA,2:1D+,1:1C
233904B,6,N,6,109,1:1D,2:0,3:1B-,1:1C,1:1C,1:1B-,0:0NA,0:0NA,1:1C,1:1C,1:1C,0:0NA,0:0NA,1:1B+,0:0NA
233904B,15,N,0,119,1:1C-,1:1C,1:1C,1:1C,1:1C+,1:1B-,0:0NA,0:0NA,1:1D,2:1C,2:1C,0:0NA,0:0NA,1:1C,0:0NA
233904B,2,N,0,86,1:1C,1:1B,1:1D-,1:1C+,0:0NA,2:1D-,0:0NA,0:0NA,1:1B,1:1C,1:1A,0:0NA,0:0NA,0:0NA,2:0
233904B,3,N,70,24,1:1B,1:0,2:0,1:0,0:0NA,1:0,0:0NA,1:1A-,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1B,0:0NA
233904B,5,N,6,118,1:1A,1:1B,1:1C-,1:1C,1:1B-,1:1A,0:0NA,0:0NA,1:1A,1:1B,0:0NA,1:1B-,0:0NA,1:1A-,0:0NA
233904B,3,N,3.5,73,2:0,1:0,1:1D-,1:1D,0:0NA,1:1A-,0:0NA,0:0NA,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1B+
233904B,10,N,0,97,2:1B,1:1C-,3:1C+,1:1C,1:0,2:0,0:0NA,0:0NA,1:1B,1:1D,1:1A,0:0NA,0:0NA,1:1C,0:0NA
233904B,4,N,70,22,1:1C,2:0,0:0NA,1:0,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1A,2:0,0:0NA,0:0NA,2:1A,0:0NA
233904B,2,N,10,107,1:1C-,1:1C+,1:1C,1:1C+,1:0,1:1B+,0:0NA,0:0NA,2:0,1:1C-,2:1C,0:0NA,0:0NA,1:0F,1:1C
233904B,3,N,0,88,1:1C-,1:1B,1:1B-,1:1C-,0:0NA,1:1A-,0:0NA,0:0NA,1:1A,1:1B,1:1B+,0:0NA,0:0NA,1:1B-,0:0NA
233904B,2,N,66,6,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:0,1:0,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,0:0NA
233904B,6,N,85,47,1:1B,1:1C,1:1C,2:1C,1:1D,1:1B,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1A,0:0NA
233904B,6,N,0,107,1:1B,1:1A,1:1C+,1:1C+,1:1A,1:1A-,0:0NA,0:0NA,1:1B,1:1B,1:1A-,0:0NA,0:0NA,2:1C+,0:0NA
233904B,7,N,6,87,0:0NA,1:1B,0:0NA,1:1C+,0:0NA,1:1B,1:0,0:0NA,1:1C,1:1B,2:0,0:0NA,0:0NA,1:1C,0:0NA
233904B,2,N,66.3,7,1:1A,1:0,1:0,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1C,0:0NA,0:0NA,1:1A-,0:0NA
233904B,8,N,78,62,1:1A,2:1C,2:1B,3:1A,1:0,2:0,1:0,1:1A,1:1A,1:1A,1:1B+,0:0NA,0:0NA,1:1A,0:0NA
233904B,4,N,94,9,1:1A,1:1A,1:1C,1:0F,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1A,1:1B,0:0NA,0:0NA,1:1A,0:0NA
233904B,10,N,0,123,1:1A-,2:1A,2:1C,1:1D+,2:0,1:1B-,0:0NA,0:0NA,1:1B,1:1B-,1:1C,0:0NA,0:0NA,0:0NA,0:0NA
233904B,9,N,70,18,1:1B,1:1A,1:1A,1:1B,1:0W,0:0NA,0:0NA,0:0NA,1:1C,1:1B,0:0NA,1:1A,1:0A,1:1B,0:0NA
233904B,9,N,0,76,1:1C+,1:1C-,1:1B-,1:1C,0:0NA,0:0NA,1:1A-,0:0NA,1:1A,1:1B,1:1B+,1:1B+,0:0NA,0:0NA,0:0NA
233904B,6,N,0,59,1:1B,1:0,0:0NA,1:0,0:0NA,1:1C+,0:0NA,0:0NA,1:1B,1:1C-,1:1C+,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,70,33,1:1B,2:1D,1:1C,2:1C,2:1C-,1:1B,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C
233904B,5,N,70,20,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1A,0:0NA
233904B,10,N,70,59,1:1C,1:1C-,1:1B,1:1C+,1:0,1:1B,0:0NA,0:0NA,2:1B,1:1C,2:0,0:0NA,0:0NA,1:1C,0:0NA
233904B,8,N,67,31,1:1A,1:1B,2:0,1:1B+,0:0NA,1:1A-,0:0NA,0:0NA,1:1A-,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1C
233904B,3,N,0,74,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,5:0,0:0NA,2:1C,0:0NA,0:0NA,2:0F,3:1C-
233904B,6,N,18,120,1:1D-,1:1C,1:1C,1:1C+,1:1C,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,3:1C,0:0NA,0:0NA,0:0NA,1:1B-
233904B,5,N,100,55,2:1B,2:1B+,1:1C+,1:1B,1:0,1:1A,0:0NA,0:0NA,1:1A,1:1A,1:1B,0:0NA,0:0NA,1:1A,0:0NA
233904B,8,N,0,108,1:1C,2:1D,1:1C+,1:1D,1:1C-,2:1B+,0:0NA,0:0NA,2:1C,1:1C-,1:1C,0:0NA,0:0NA,1:1A,0:0NA
233904B,13,N,62,57,1:1B,1:1D,1:1B,1:1C+,1:1C-,1:1A,0:0NA,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1C,0:0NA
233904B,3,N,0,83,2:1B-,1:0,1:0,1:0,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA
233904B,7,Y,70,50,1:1B,1:1B,1:1C-,1:1B-,1:1C,1:1B,0:0NA,0:0NA,1:1A,1:1C,0:0NA,1:1B,1:0B,1:1C,0:0NA
233904B,6,N,70,27,1:1C,2:1D+,3:0,3:0,0:0NA,1:1C,0:0NA,0:0NA,1:1C,1:1C,2:1A,4:0,0:0NA,1:1C,0:0NA
233904B,10,N,70,39,1:1A,1:1B,0:0NA,1:1B-,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1A,1:0,0:0NA,0:0NA,1:1B,0:0NA
233904B,10,N,0,113,5:0,2:0,4:1C,2:0,2:0,0:0NA,0:0NA,0:0NA,1:1C,1:1D,1:1A,0:0NA,0:0NA,2:1C,0:0NA
233904B,11,N,83,45,1:1C,1:1A,1:1B,1:1B+,1:1C+,1:1A,0:0NA,0:0NA,1:1C,1:1C,1:1A,0:0NA,0:0NA,0:0NA,1:1A
233904B,3,N,0,86,1:1B,1:1C-,1:1C+,1:1C+,1:0,1:1B+,0:0NA,0:0NA,1:1A,1:1A,1:1B-,0:0NA,0:0NA,1:1B,0:0NA
233904B,10,N,0,86,1:1D,1:1C,3:1D,2:0,0:0NA,1:1A-,0:0NA,0:0NA,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1B-,0:0NA
233904B,9,N,70,24,1:1C,2:1C,1:1C,1:1D-,1:0,1:1B,0:0NA,0:0NA,1:1A,1:1B,1:1C,0:0NA,0:0NA,1:1C,0:0NA
233904B,2,N,2.7,59,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,1:1A,2:0,2:1B,0:0NA,0:0NA,0:0NA,2:0
233904B,7,N,36,79,1:1C,1:1C,1:1C,1:1C,1:1C-,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,1:1C,0:0NA
233904B,7,N,56,21,0:0NA,2:0,1:0F,3:0,1:0,1:1D+,0:0NA,0:0NA,1:1C,1:1C,2:0,0:0NA,0:0NA,0:0NA,0:0NA
233904B,6,N,5,87,1:1C+,2:1D,2:1C,1:1D-,1:0,2:1C+,0:0NA,0:0NA,1:1C,1:1C,1:1C,0:0NA,0:0NA,2:1B-,0:0NA
233904B,6,N,0,96,1:1B,1:1C,1:1B,1:1C,1:1C,1:1A,0:0NA,0:0NA,1:1B,1:1C+,1:1B-,0:0NA,0:0NA,1:1B,0:0NA
233904B,10,N,62,42,1:1B,1:1C,0:0NA,1:1B,0:0NA,1:1B+,0:0NA,0:0NA,1:1B,1:1A,1:0,0:0NA,0:0NA,1:1B,0:0NA
233904B,9,N,0,97,2:1C+,2:0F,4:1C+,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1A,0:0NA,0:0NA,1:1B,0:0NA
233904B,11,N,70,42,1:1C,2:0,1:1C+,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1B,1:1A,1:1C,0:0NA,0:0NA,1:1A,0:0NA
233904B,5,N,0,83,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,1:1C,1:1B,2:1B,0:0NA,0:0NA,1:1B,0:0NA
233904B,2,N,67,12,1:1C,1:1C,2:0,2:0,1:0,1:1B,0:0NA,0:0NA,1:1C,1:1B,1:1C,0:0NA,0:0NA,1:1C,0:0NA
233904B,10,N,101,48,1:1A,1:1A,1:1CR,2:1B-,0:0NA,1:1B-,0:0NA,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,2:1A
233904B,5,N,70,52,1:1A,1:1B,1:1B,1:1B-,1:0,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1A,0:0NA,1:1A,0:0NA
233904B,11,N,70,37,1:1A,1:1A,1:1B+,1:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,1:1A,0:0NA,1:1B,1:0B,1:1A,0:0NA
233904B,3,N,0,68,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:0,0:0NA,2:0,1:0WU,0:0NA,0:0NA,0:0NA
233904B,10,N,8,117,1:1A,2:1A-,1:1B,2:1B,1:0,0:0NA,0:0NA,0:0NA,2:1A,2:0,2:1C+,0:0NA,0:0NA,1:0F,0:0NA
233904B,7,N,0,125,1:1A,1:1A,1:1A,1:1A,1:0,0:0NA,1:1A,0:0NA,2:1A,1:1A,1:1A,0:0NA,0:0NA,1:1A,0:0NA
233904B,4,N,65,3,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,1:1B,0:0NA
233904B,6,N,9,108,1:1A,1:1B,1:1B,1:1A,1:1B,1:1B+,0:0NA,0:0NA,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:0,2:1A
233904B,4,N,11,88,1:1C+,1:1C,2:0,1:1C,1:1B-,1:1B-,0:0NA,1:1B,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA
233904B,12,N,16,96,2:1C-,1:1A,1:1B,1:1A,1:1C,1:0,0:0NA,1:1C,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+
233904B,10,N,5,146,0:0NA,1:1A,2:1C,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
233904B,12,N,5,135,2:1C+,2:0,4:1C,1:1B-,1:1C,0:0NA,0:0NA,0:0NA,1:1D,2:1D,2:0,0:0NA,0:0NA,1:1B-,0:0NA
233904B,9,N,12.5,112,1:1B,1:1A,2:1B,1:1C,1:1B,1:1A,0:0NA,0:0NA,1:1B,1:1C+,1:1C,0:0NA,0:0NA,1:1A,0:0NA
233904B,8,N,0,63,1:1A,0:0NA,1:0,1:0,0:0NA,1:1A,1:0,0:0NA,1:1B,1:1A,1:1A,1:0,0:0NA,1:0,0:0NA
