Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308
230726B,1,N,17,9,0:0NA,0:0NA,1:0,0:0NA,2:1B,2:0,0:0NA,2:1C+,0:0NA,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,68,15,1:1B,1:1B-,1:1A,1:1B,1:1C,1:1A,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1C+,1:1C+,4:0,0:0NA,1:1C+
230726B,3,N,76,28,1:1A,1:1A,1:1A,1:1A,1:1A,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1B+,1:1B,0:0NA,1:1B
230726B,2,N,21,75,1:0,0:0NA,1:1A,1:1A,1:1C,2:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1D,1:1C+,1:1B,1:1C,1:1B
230726B,1,N,72,6,1:1A,1:1A,1:1A,1:1A,1:1B,1:1A-,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1A-,1:1A,1:1B-,0:0NA,1:1A
230726B,1,N,70,9,1:1C,1:0,0:0NA,1:1A,1:1A,1:1B,0:0NA,0:0NA,2:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,70,15,1:1C,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1B,2:1CR,2:1B,1:1C,2:0,0:0NA,1:1C+
230726B,4,N,6,76,1:0F,0:0NA,1:1C+,1:1B-,1:1D,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,3:0,0:0NA,0:0NA
230726B,2,N,70,24,1:1B,1:1D+,1:1A,1:1A,1:1C,1:1D,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1A-,1:1CR,2:1D-,1:1C,1:1C,1:1D-,1:1C-
230726B,2,N,70,21,1:1,1:1C,1:1A,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1CR,2:1B,1:1B,1:1B+,1:1B,1:1C+
230726B,3,N,6,26,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,66,33,1:1B,1:1B,1:1B,1:1B,1:1B,1:1C,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1B,2:1B-,1:1C
230726B,8,N,26,97,1:1B,0:0NA,1:1B,1:1A,1:1C-,1:1D,0:0NA,2:1C,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1D+,1:1B,0:0NA,1:1B-
230726B,7,Y,14,112,1:1D+,2:1B-,1:1B,2:0W,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1B,1:1B,2:1C,2:1A-,1:1B+
230726B,9,Y,25,104,1:1C,1:1D,1:1A,1:1A,0:0NA,0:0NA,0:0NA,2:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,1:1C,0:0NA,1:1A-
230726B,2,N,69,12,1:1B,1:1C,1:1C,2:0,1:1C,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C-,5:1CR,2:1A,2:1D+,1:1B-,2:1C,2:1C-
230726B,6,Y,61,72,1:1B,0:0NA,1:1B,1:1,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1C,1:1B,4:1B,0:0NA,1:1C+
230726B,6,Y,70,64,1:1A,1:1B,1:1A,2:1A,1:1A,1:1B,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1B,1:1B+,1:1B+,1:1A
230726B,4,N,70,25,1:1B,1:1B,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,2:1B+,1:1CR,1:1C,1:1B-,1:1C,2:1B-,2:0
230726B,2,N,69,12,1:1C,1:1C,1:1C,1:1B,1:1C,1:1A,1:1B,1:1C,0:0NA,0:0NA,0:0NA,1:1C,1:1C-,4:1CR,1:1A,1:1D+,1:1B-,2:1A-,1:1B
230726B,3,Y,70,57,1:1B,1:1B-,1:1B,1:1A,1:1B,1:1B,0:0NA,1:1A,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1B+,0:0NA,1:1A
230726B,1,N,70,15,1:1A,1:1B,1:1A,1:1B,1:1A,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,1:1A-,1:1B+,1:1C,0:0NA,1:1B
230726B,3,Y,67,67,1:1C,1:1C,1:1A,1:1A,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1C+,1:1C-,1:1C,0:0NA,1:1C+
230726B,3,N,16,54,2:0F,2:0F,1:1C,1:1D,2:0,1:0,0:0NA,1:0,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0
230726B,1,N,19,45,1:1C,1:1C,1:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,1:1B+,1:1CR,1:1C,1:1C,1:1C,1:1C,0:0NA
230726B,5,N,70,46,1:1B,1:1C,1:1B,1:1B+,1:1A,1:1A,0:0NA,1:1A,1:1C+,0:0NA,0:0NA,0:0NA,1:1A-,1:1CR,1:1B-,1:1C+,3:1C,2:1B,1:1B-
230726B,5,Y,70,55,1:1B,1:1A,1:1A,0:0NA,1:1B,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A-,1:1B+,2:1B,1:1B,1:1B
230726B,4,Y,6,133,1:0B+,0:0NA,1:1B,2:1B-,0:0NA,0:0NA,0:0NA,2:0A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:1B,1:1C,0:0NA,1:1A
230726B,8,Y,70,87,1:1A,1:1A,1:1A,0:0NA,1:1A-,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B,0:0NA,0:0NA,0:0NA,2:1A,1:1A-,1:1A,1:1A,1:1A
230726B,7,Y,70,51,1:1C,0:0NA,1:1B,1:1A,1:1B,1:1A,0:0NA,1:1B,2:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B-,1:1C,1:1B
230726B,9,Y,25,118,1:1C+,1:1D-,1:1C,1:1A,2:1C+,1:1D-,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1C-,2:1C,0:0NA,1:1D
230726B,5,Y,95,57,1:1B,1:1C-,1:1B+,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1C-,1:1C+,1:1C-,0:0NA,1:1B-
230726B,3,N,31,100,3:0F,0:0NA,3:1A-,1:1C-,1:1B,1:0WU,0:0NA,0:0NA,1:0F,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0WU
230726B,1,N,7,43,0:0NA,0:0NA,1:0,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,8,Y,70,61,0:0NA,0:0NA,1:1A,1:1B,1:1C,1:1D,0:0NA,0:0NA,0:0NA,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1B-,1:1C-,1:1A-
230726B,7,Y,0,127,1:1C,1:1C,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1C,2:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,1:1B,1:1C,1:1B,1:1A-
230726B,8,N,27,89,0:0NA,0:0NA,1:1C,1:1A,0:0NA,1:1D,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C,1:1B,0:0NA,2:1A
230726B,1,N,68,68,1:1C,0:0NA,1:1B,1:1A,1:1B,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,1:1B-,1:1C,2:0,1:1C
230726B,2,N,75.6,24,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,Y,70,51,1:1C,1:1B,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1A,1:1B+,1:1A,1:1A,1:1B
230726B,5,Y,63,57,1:1A,1:1B,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1A-,1:1B+,1:1A-
230726B,4,Y,59,66,1:1B,0:0NA,1:1B,1:1B,1:1B,1:1B,0:0NA,2:1B,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B+,1:1B,1:1C,0:0NA,1:1B
230726B,10,Y,70,73.5,1:1C,0:0NA,1:1A,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C-,1:1B+,1:1C-,1:1C
230726B,1,N,64.6,0,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,N,64,15,1:1C,1:1B,1:1C,1:1B,1:1C,1:1C,0:0NA,0:0NA,3:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,3:0WU,3:0F
230726B,7,N,70,61,1:1A,1:1B,1:1B-,1:1A,1:1C,1:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1C,2:0,0:0NA,1:1D+
230726B,2,N,21,49,0:0NA,0:0NA,1:1C,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,9,N,51,76,0:0NA,0:0NA,1:1A,0:0NA,1:1B,1:1B,0:0NA,1:1D,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1B,1:1C-,1:1B,0:0NA,1:1A
230726B,3,N,11,66,0:0NA,0:0NA,1:1C-,1:1A,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,6,23,0:0NA,0:0NA,0:0NA,1:1B-,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,Y,54.5,73,1:1C,1:1B+,1:1C,1:1A,1:1C,2:1D,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:0W,0:0NA,0:0NA,1:1C-,1:1B-,1:1D,0:0NA,2:1A
230726B,3,N,68,20,0:0NA,2:0,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,6,Y,70,51,1:1B,1:1B,1:1B,1:1B,1:1C,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1A,1:1B+,1:1B,2:1A,1:1C+
230726B,6,Y,70,68,0:0NA,0:0NA,1:1B,2:1A,0:0NA,0:0NA,0:0NA,2:1B,1:0W,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1C-,2:1C+,1:1C,3:1C+,1:1C-
230726B,5,Y,0,129,1:1B-,2:1C-,2:1C,1:1B+,0:0NA,0:0NA,0:0NA,2:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:1B,1:1C,2:1C,1:1C
230726B,10,Y,0,131,2:0,1:1B+,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1B,1:1B+,1:1B
230726B,7,Y,68,52,1:1B,1:1B,1:1A,1:1B,1:1B,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,1:1B-,1:1B-,0:0NA,1:1A-
230726B,6,N,12,49,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,12,10,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,0,25,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,Y,0,149,1:0,0:0NA,1:1C,1:1A-,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1A,1:1C-,2:1C-,0:0NA,2:1C
230726B,4,Y,0,140,1:1B-,2:1B,1:1C+,1:1A,0:0NA,0:0NA,0:0NA,2:1C,2:1B-,0:0NA,0:0NA,0:0NA,1:1B-,1:1CR,2:1C+,1:1C,1:1C,0:0NA,1:1B
230726B,5,N,68,52,1:1C,1:1A,1:1B,1:1A,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B-,1:1CR,1:1B,1:1B,1:1C-,2:1B,1:1A
230726B,5,N,5,54,1:1A,1:1B,0:0NA,1:1A,2:1B,1:1B+,0:0NA,0:0NA,2:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1CR,1:1A,0:0NA,1:1B,2:1A-,0:0NA
230726B,1,N,69.5,9,1:1A,1:1A,1:1A,1:1A,1:1B,1:1A,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1B,2:1CR,2:0,1:1A,1:1B-,1:1A-,1:1A-
230726B,2,Y,70,66,1:1A-,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,2:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1A,1:1B,0:0NA,1:1A
230726B,2,N,13,74,0:0NA,0:0NA,1:1B,1:1C+,1:1C,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,Y,70,57.5,1:1A,0:0NA,1:1C,1:1A,1:1B,1:1B,0:0NA,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1C+,1:1B,0:0NA,1:1B
230726B,3,Y,16,129.5,1:1B,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,2:0,2:1D,1:1C-,1:1C,2:1B,1:1C+
230726B,6,Y,65,55,1:1B,1:1B+,1:1B,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1A-,1:1A-,1:1A
230726B,7,Y,8,115,2:0,2:1A,1:1B,1:1A-,0:0NA,0:0NA,0:0NA,3:1C,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1C,1:1B+,1:1B-,0:0NA,1:1B-
230726B,4,Y,18,121,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A
230726B,5,Y,69,61,1:1A,1:1B,1:1C+,1:1A,1:1B,1:1A,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1A,1:1B+,1:1B,0:0NA,1:1C
230726B,10,Y,70,66,1:1B,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1C+,1:1B-,1:1C+,1:1C+
