Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348
230750B,1,N,58.5,0,1:1D,0:0NA,1:1C,1:0WU,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA
230750B,1,N,70,0,1:1A,1:1B,1:1A,1:1A,1:1C,1:1A,1:1B,1:1D,1:1C+,0:0NA,0:0NA,1:1A,1:1C,0:0NA,1:1C,1:1C-,1:1C+,1:0,0:0NA
230750B,1,N,60.5,18,0:0NA,0:0NA,1:1C,2:1C,1:1C,2:1B-,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,68,18,1:1B,1:1B+,1:1C,1:1B,1:1B,1:1A,0:0NA,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,0,72,1:0,0:0NA,1:1C,3:1A,1:1C-,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,0,6,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,78.3,3,1:1C,1:1C,1:1A,1:1C,1:1C,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1C,1:1C,0:0NA,1:0F,0:0NA
230750B,1,N,61,12,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,0,149,1:1D+,1:1C,1:1D+,1:1B,1:1C,1:1C,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,1:0,1:1B,1:1D-,2:1C-,1:1C,1:1C-,1:1D+,2:0
230750B,1,N,0,0,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,0,46,1:1A,1:1A,1:1B+,2:0,1:1B,1:1B,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1A,1:1A,1:1B-,0:0NA,0:0NA
230750B,1,Y,3,126,1:1B,1:1A,1:1A-,1:1B,2:1A,1:1A,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:1A-,1:1A-,1:1B+,1:1A-,1:1B,1:1B+
230750B,1,N,19,41,2:0,1:1A,1:1A,1:1A,1:1A,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1A,1:1B+,1:1A-,0:0NA,0:0NA
230750B,1,Y,93.9,37,1:1A,0:0NA,1:1C,0:0NA,1:1C+,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1A,1:1B+,1:1A-,1:1B+,1:1B,1:1B-,1:1B,1:1B
230750B,1,Y,6,122,1:1C,1:1C+,1:1B,1:1C,2:1C,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1B,2:1B+,1:1A-,2:1A,1:1B,1:1A,1:1A
230750B,1,N,0,12,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,5,17,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,5,126,2:0,1:1C,1:1C,1:1B,1:1B,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1C,1:1A-,1:1B-,1:1B,1:1C,1:1B+
230750B,1,Y,0,120,1:1B-,1:1D-,1:1C,1:1B+,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,1:1B,1:1B+,1:1C+,1:1A,1:1B,1:1C+,1:1B
230750B,1,N,70,54,1:1C,1:1B,1:1B+,0:0NA,1:1B,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,10,130,1:1B,1:1B+,0:0NA,2:0,2:0,2:0,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:1B,0:0NA,1:1B,1:1C+,1:1B,1:1A-
230750B,1,N,9,42,1:0,0:0NA,0:0NA,1:1B,1:1D,1:1C,0:0NA,1:1D,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,87,15,1:1A,1:1B,1:1C,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,1:0F,1:1C-,1:1C+,0:0NA,0:0NA,0:0NA
230750B,1,N,0,0,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,0,43,0:0NA,0:0NA,0:0NA,1:1B+,1:1B-,1:0,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,0,3,0:0NA,0:0NA,0:0NA,2:0WU,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,10,118,1:1D,1:1D,1:1C+,1:1B-,1:1C,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1C,1:1B,1:1C,1:1C,1:1C,1:1B-
230750B,1,Y,0,120,2:1D,1:1B-,1:1C-,1:1C-,1:1C-,2:1C,0:0NA,2:1C+,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:1C,1:1B-,1:1B,1:1D,1:1B-,1:1B
230750B,1,N,70,6,1:1C,1:1C,1:1A,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,82,67,1:1A,1:1A-,1:1D,1:1A,1:1C+,1:1B+,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A-,1:1C,2:1B,2:1D,1:1B-,1:1A-
230750B,1,Y,60,70,1:1C,1:1C+,1:1B,0:0NA,1:1A,1:1A-,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:1C,1:1D+,1:1B-,1:1C,1:1A,1:1B
230750B,1,Y,66,64,1:1C,1:1C+,1:1B,1:1A,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A,1:1C+,1:1B-,1:1A,1:1C+,1:1A-,1:1A-
230750B,1,N,0,47,0:0NA,0:0NA,0:0NA,1:1B,1:0F,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,70,50,1:1C,1:1D,1:1B,1:1B,1:1CR,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1C+,1:1D-,3:1C,1:1B,1:1C,1:1B
230750B,1,Y,70,56,1:1A,1:1B,1:1B,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,1:1A-,1:1B-,1:1B,1:1B-,1:1B,1:1B+
230750B,1,N,39,62,0:0NA,0:0NA,0:0NA,1:1C,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,76,44,1:1C,1:1B,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,2:0,1:1C,1:1B,2:1A,1:1A,1:1B,2:1A
230750B,1,N,106,9,1:1B,2:1B,1:1A-,1:1B,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,0:0NA,1:1B+,1:1B,1:1B+,1:0F,1:1B+
230750B,1,N,0,64,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,59,70,1:1C,1:1B+,1:1B+,1:1A-,1:1B,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1B+,1:1B-,1:1B,1:1B,1:1B-,1:1C
230750B,1,Y,70,65,1:1A,1:1A,1:1B,1:1A,1:1B,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B,1:1B-,1:1B+,1:1C+,1:1C,1:1A,2:1B,2:0
230750B,1,N,64,73,2:0,2:0F,1:1B,1:1A,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,2:1C,1:1C,3:0C+,1:1C,1:1C+,3:1D-,3:0
230750B,1,N,0,16,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,69.5,58,1:1A,1:1C,1:1A,1:1C+,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A,1:1A,1:1B,1:1A-,1:1B,1:1B+,1:1B
230750B,1,Y,70,52,1:1B,1:1B,1:1C,1:1A,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1B+,1:1C,1:1C-,1:1C,1:1B-,1:1C
230750B,1,Y,60,65,1:1C,1:1C,1:1C,1:1A,1:1B,1:1B,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1A-,1:1B+,1:1B,1:1C+,1:1B+,1:1B,1:1C,1:1C+
230750B,1,Y,65,58,1:1,1:1B,1:1B,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1B+,1:1B-,2:1C+,1:1A-,1:1C+,1:1B+
230750B,1,N,0,9,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,62,59,1:1D,2:1C-,1:1C,0:0NA,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,4:1D-,1:1C+,1:1B,1:1D,1:1C,1:1B-
230750B,1,N,27,88,0:0NA,0:0NA,1:1B,1:1C,2:0WU,1:1C,0:0NA,0:0NA,2:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,1:1C
230750B,1,N,19,57,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,11,39,1:1C,0:0NA,2:0,1:1B+,1:1D+,1:1C,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,70,50,1:1B,1:1B,1:1A,1:1A,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1D,1:1C,1:1C,1:1C,1:1C-,2:1B
230750B,1,N,70,18,1:1C,0:0NA,1:1B,1:1A-,1:1B,1:1B,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA
230750B,1,Y,70,67,1:1A,1:1A,1:1B,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,2:1A,1:1A-,1:1A-,2:1B,1:1B+,1:1B,1:1B-
230750B,1,N,70,24,1:1A,1:1B,1:1C,1:1A,1:1C,1:1B,1:1C,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1B-,0:0NA,1:1D+,3:1C-,1:1C+,1:0,0:0NA
230750B,1,Y,70,78,1:1B,1:1D+,1:1C-,0:0NA,1:1C,1:1C-,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,1:1B,1:1B,1:1B,1:1B-,1:1C,1:1B-,1:1C,1:1C
230750B,1,N,60,15,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1B,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,70,42,1:1C,1:1C,1:1A,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1A,1:1C+,1:1B-,1:1D,1:0F,1:1B
230750B,1,Y,73,59,1:1C,1:1B,1:1C,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B,3:0D,1:1B-,1:1B,2:1C-,1:1C-,1:1B
230750B,1,N,70,12,1:1D,0:0NA,1:1A,2:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,70,84,1:1C,1:1A-,1:1B,1:1A-,1:1A,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1B,1:1C+,1:1B-,1:1B-,1:1C,1:1C+
230750B,1,N,5.7,60,0:0NA,0:0NA,0:0NA,2:0D,1:1D-,1:0,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
