Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308
230741B,1,N,0,0,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,70,61,1:1C,1:1C,1:1C,1:1A,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,1:1B,1:1B+,4:1CR,1:1D,1:1C-,1:1C-,1:1C,1:1C+,1:1B-,0:0NA,1:1C
230741B,1,N,30,74,2:1B,0:0NA,1:1A,1:1A,1:1A,1:1C,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1CR,1:1B,1:1A,1:1A,1:1C,1:1A,1:1A,0:0NA,0:0NA
230741B,1,Y,70,55,1:1B,1:1B,1:1B,1:1A,1:1A,1:1C,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,2:1B-,3:0,2:1B,1:1C,3:1C,3:1C-,4:1B,2:0,0:0NA,1:1C-
230741B,1,N,70,34,1:0F,0:0NA,1:1C,1:1B+,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,Y,42,104,1:1D,1:1B+,1:1B,1:1A,2:0,2:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0,2:1B+,1:1CR,1:1D,2:1C+,1:1B+,1:1C,1:1D+,1:1B-,0:0NA,1:1C-
230741B,1,Y,85,53,1:1B,1:1B,1:1A,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,1:1A,1:1B,1:1CR,2:1A,1:1B,1:1B,1:1B-,1:1C-,1:1B,0:0NA,1:1B-
230741B,1,Y,70,52,1:1A,1:1B,1:1A,1:1A,1:1C+,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,2:1B,2:1CR,3:1B+,1:1B-,1:1C+,1:1C,1:1D,1:1A,0:0NA,1:1B+
230741B,1,Y,74,90,1:1,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A,1:1A,2:1CR,1:1A,1:1A,1:1B+,1:1A-,1:1A,1:1A-,0:0NA,1:1A-
230741B,1,N,0,20,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,91,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,15,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,70,0,1:1,1:0F,1:1B,1:1A,1:1C,1:1C,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,6,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,13,68,1:1C,1:1C-,1:1A,1:1A,1:1D+,1:1D-,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,2:0WU,1:1B-,1:1CR,1:1A,1:1D,1:1B-,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,22,0:0NA,0:0NA,0:0NA,1:1D+,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,28,13,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,6,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,61,20,1:1B,1:1B,1:1B,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,2:0,3:1CR,2:1C,1:1C,2:1B,2:1B+,0:0NA,0:0NA,0:0NA,3:1C+
230741B,1,N,63,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,Y,6,122,1:1D,1:1B,1:1C+,1:1A,2:1A-,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,2:1CR,1:1B,1:1B+,2:1B-,2:1C,1:1B,1:1B-,0:0NA,1:1C
230741B,1,Y,77.8,52,1:1C,0:0NA,1:1A,1:1A,1:1B,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A,1:1CR,1:1B+,1:1A-,1:1A-,1:1A-,1:1C,1:1A,0:0NA,1:1A-
230741B,1,N,0,12,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,69,9,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,59,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,73,0,1:0F,0:0NA,0:0NA,0:0NA,1:0,1:1B+,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,1:0F,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,66,0,1:1B,3:0W,1:1B,1:1C,1:1D+,3:0,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,Y,70,50,1:1C,1:1B,1:1C,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A,3:1CR,1:1C,1:1B+,2:1A,2:1C,1:1B,1:1B+,0:0NA,1:1B+
230741B,1,Y,70,67,1:1B,2:1C-,1:1D+,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C+,1:1CR,1:1B-,1:1B+,2:1B,1:1C+,1:1B+,1:1A-,0:0NA,1:1C-
230741B,1,N,70,33,1:1C,1:1C,1:1B,1:1B,1:1C,1:1C,1:1C,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1B-,2:0,1:1D,3:1C-,1:1D,1:1C-,0:0NA,0:0NA,0:0NA,1:1C+
230741B,1,N,77,6,1:1B,1:1B,1:1B,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA
230741B,1,N,0,7,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,70,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,6,99,1:1B,2:0,1:1C,1:1B-,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1D,3:0NC,2:0WU,1:1C-,1:1D-,2:0,2:0F,1:1D+,0:0NA,1:1D
230741B,1,N,69.3,12,1:1B,1:1B-,1:1B,1:1A-,1:1C,0:0NA,1:1B,1:1,0:0NA,1:1,0:0NA,1:1B,2:1B,1:1CR,1:1B+,1:1C,1:1B,1:1C-,0:0NA,0:0NA,0:0NA,1:1B-
230741B,1,Y,70,51,1:1C,1:1C,1:1A,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1CR,1:1C+,1:1B-,1:1C,1:1C,1:1D,1:1A-,0:0NA,1:1B
230741B,1,N,54,0,1:1C,0:0NA,0:0NA,0:0NA,2:1C,1:0WU,1:0WU,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,39,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1C,0:0NA,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,105,52,1:1C,1:1C-,1:1C,1:1B+,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1C+,2:1CR,4:1C+,0:0NA,0:0NA,1:1C-,2:1B,1:1B,0:0NA,1:1C+
230741B,1,Y,70,50,1:1B,1:1B,1:1B,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,2:1C,2:0,1:1B,1:1C,2:1C,1:1A,0:0NA,1:1C+
230741B,1,Y,70,50,1:1B,1:1C,1:1A,1:1B,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1A-,1:1CR,1:1C+,1:1B,1:1C+,1:1C-,1:1B,1:1C+,0:0NA,1:1C
230741B,1,N,6,27,0:0NA,0:0NA,1:0,1:0,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,Y,14,113,1:1C,1:1D+,1:1D+,1:1B,1:1C,1:1D-,0:0NA,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA,2:0,4:1CR,1:1C,1:1C,1:1D+,1:1C-,1:1D,1:1B-,0:0NA,1:1C
230741B,1,N,66,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,Y,70,66,1:1B,1:1B,1:1C,1:1A,1:1C,1:1A,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1B,1:1CR,1:1B-,1:1B-,1:1B-,1:1B,1:1C,1:1B+,0:0NA,1:1C+
230741B,1,Y,3,134,1:1C,1:1C+,1:1A,1:1A,1:1D+,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,2:0,1:1D+,1:1D,2:1C+,2:1B+,1:1C,1:1A-,0:0NA,2:1B
230741B,1,Y,20,126,2:0C-,1:1B,1:1A,2:1B,1:1C,1:1C,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,1:1C,2:1CR,1:1C,1:1B+,1:1C-,1:1B,1:1B,1:1B,0:0NA,1:1D
230741B,1,N,14,118,1:1A-,1:1A,1:1A-,1:1B,1:1B+,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1A,1:1CR,1:1B,1:1B,1:1C+,1:1B,1:1B,1:1B+,0:0NA,1:1B-
230741B,1,N,3,14,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,60,9,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,27,0:0NA,0:0NA,0:0NA,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,58.5,12,0:0NA,0:0NA,0:0NA,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,92,18,1:1C,1:1B,1:1C,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1D+,1:1C-,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-
230741B,1,Y,14,116,1:1D,2:0F,1:1C,4:0,4:1C,1:1C-,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,1:1B-,3:1CR,2:1D-,2:1C-,1:1D+,1:1D,2:1D+,1:1C+,0:0NA,1:1D+
230741B,1,Y,19,113,1:1B,1:1B,1:1B,1:1A,1:1C,1:1D,0:0NA,0:0NA,1:0,0:0NA,0:0NA,1:1C,1:1B,2:1CR,1:1C-,1:1D,4:0,1:1C-,1:1B,1:1B-,0:0NA,1:1B
230741B,1,N,11,117,1:1D,1:1C,2:0,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1C,1:1A-,1:1CR,1:1C,2:1C-,1:1C,2:1C,0:0NA,1:0,0:0NA,1:1C-
230741B,1,N,68,24,1:1A,0:0NA,1:1B,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,6,0:0NA,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,69,0,1:1C,1:1D-,0:0NA,1:1C,1:1B,1:1C,0:0NA,1:0,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,84.3,9,1:1B,1:1A,1:1A,1:1A,1:1B,1:1B,1:1A-,0:0NA,0:0NA,0:0NA,1:1C,2:1A,1:1B+,1:1CR,1:1A,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,1:1B
230741B,1,N,67,0,1:1C,1:1B,1:1B,1:1B,1:1B,1:1B,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,36,0:0NA,0:0NA,0:0NA,2:0F,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,2:0WU,0:0NA,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,0,15,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,4,11,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,59,21,1:1D,0:0NA,1:1A,1:1A,2:1D,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,61,28,1:1B,0:0NA,1:1A,1:1A,1:1A,1:1A,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,0:0NA,1:1C,0:0NA,0:0NA,1:1A
230741B,1,Y,25,108,1:1C,1:1C-,1:1B,1:1A,1:1D,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,2:0,2:1CR,1:1C,1:1C,1:1B-,1:1B,1:1C,1:1A,0:0NA,1:1C
230741B,1,N,70,64,1:1,1:1B,1:1A,1:1A,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1A,1:1B,2:1CR,1:1C+,1:1B-,1:1B,1:1B,2:1C,1:1B,0:0NA,2:0
230741B,1,N,70,11,1:1C,1:1B,1:1B,1:1C,1:1B,1:1A,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1A,1:1CR,1:1D,1:1B,1:1C,1:1C-,0:0NA,1:1A-,0:0NA,1:1B+
230741B,1,N,99.3,0,1:1B,1:1C,1:1B,1:1A,1:1B,1:1C+,1:1A,0:0NA,0:0NA,1:1,1:1,1:1B,1:1B+,1:1CR,1:1A,1:1A-,1:1A,1:1B,0:0NA,0:0NA,0:0NA,1:1B-
230741B,1,N,0,24,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,70,40,1:1A,1:1B,1:1B,1:1A,1:1C,1:1C,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1CR,1:1D+,1:1B+,1:1B,2:0,1:0F,0:0NA,0:0NA,3:0
230741B,1,Y,6,136,1:1C,1:1C,1:1C,1:1A,1:1D-,1:1C+,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,1:1C,1:1CR,2:1C-,1:1C,1:1C,1:1C,1:1B-,1:1C+,0:0NA,1:1C+
230741B,1,N,70,18,1:1A,1:1B,1:1B,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1C-,1:1C-,0:0NA,0:0NA,0:0NA
230741B,1,N,68,0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,82,0,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,1:1CR,1:1A,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,1:1B
